model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,out_0.9,kernel_0.9,data_0.9,ortho_0.9,out_0.95,kernel_0.95,data_0.95,ortho_0.95,out_0.99,kernel_0.99,data_0.99,ortho_0.99,out_0.999,kernel_0.999,data_0.999,ortho_0.999
timm:densenet121.tv_in1k,features.denseblock3.denselayer21.conv2,80,128,32,9,1152,32,307200,266.6666666666667,0.9271895712595895,2.1644011381157946,1.0,0.6875,0.8125,1.0,0.78125,0.8125,0.90625,1.0,0.875,0.96875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock3.denselayer22.conv1,81,928,128,1,928,128,307200,331.0344827586207,0.7380928888762915,5.451375888563274,1.0,0.3671875,0.6953125,1.0,0.671875,0.5390625,0.8203125,1.0,0.8125,0.828125,0.9609375,1.0,0.9609375,0.9765625,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock3.denselayer22.conv2,82,128,32,9,1152,32,307200,266.6666666666667,0.8616468814168334,2.884102239886982,1.0,0.625,0.78125,1.0,0.78125,0.78125,0.90625,1.0,0.875,0.96875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock3.denselayer23.conv1,83,960,128,1,960,128,307200,320.0,0.8037963306873902,4.718618596216366,1.0,0.4921875,0.7265625,1.0,0.7109375,0.65625,0.84375,1.0,0.84375,0.890625,0.9609375,1.0,0.96875,0.9921875,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock3.denselayer23.conv2,84,128,32,9,1152,32,307200,266.6666666666667,0.936568096019556,1.9908672709853794,1.0,0.6875,0.84375,1.0,0.78125,0.8125,0.90625,1.0,0.90625,0.96875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock3.denselayer24.conv1,85,992,128,1,992,128,307200,309.6774193548387,0.7991880991921191,4.510249979763437,1.0,0.4609375,0.7265625,1.0,0.703125,0.6328125,0.84375,1.0,0.8359375,0.8828125,0.9609375,1.0,0.96875,0.984375,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock3.denselayer24.conv2,86,128,32,9,1152,32,307200,266.6666666666667,0.9374633811232511,2.129372571597854,1.0,0.6875,0.84375,1.0,0.78125,0.8125,0.90625,1.0,0.90625,0.96875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.transition3.conv,87,1024,512,1,1024,512,307200,300.0,0.6134438435539359,16.419832647556515,0.4705630362232801,0.34375,0.5390625,1.0,0.65625,0.46875,0.6640625,1.0,0.80078125,0.72265625,0.865234375,1.0,0.953125,0.9296875,0.9765625,1.0,0.99609375
timm:densenet121.tv_in1k,features.denseblock4.denselayer1.conv1,88,512,128,1,512,128,307200,600.0,0.7932744280679469,4.749338816828268,1.0,0.515625,0.703125,1.0,0.7265625,0.6640625,0.8203125,1.0,0.8515625,0.890625,0.953125,1.0,0.96875,0.984375,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock4.denselayer1.conv2,89,128,32,9,1152,32,307200,266.6666666666667,0.9132609990333934,2.390761814549424,1.0,0.75,0.8125,1.0,0.84375,0.84375,0.90625,1.0,0.9375,0.96875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock4.denselayer2.conv1,90,544,128,1,544,128,307200,564.7058823529412,0.7921500830720216,5.190289702715396,1.0,0.53125,0.7109375,1.0,0.75,0.6796875,0.8203125,1.0,0.8671875,0.8984375,0.953125,1.0,0.9765625,0.9921875,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock4.denselayer2.conv2,91,128,32,9,1152,32,307200,266.6666666666667,0.916528854574434,2.172935913041702,1.0,0.78125,0.8125,1.0,0.84375,0.875,0.90625,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock4.denselayer3.conv1,92,576,128,1,576,128,307200,533.3333333333334,0.7908887470991506,5.112397072070148,1.0,0.5234375,0.7109375,1.0,0.7421875,0.6796875,0.828125,1.0,0.859375,0.8984375,0.9609375,1.0,0.96875,0.9921875,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock4.denselayer3.conv2,93,128,32,9,1152,32,307200,266.6666666666667,0.8747490049358848,2.514869758328177,1.0,0.71875,0.78125,1.0,0.84375,0.84375,0.90625,1.0,0.9375,0.96875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock4.denselayer4.conv1,94,608,128,1,608,128,307200,505.2631578947368,0.7853121337718122,5.041908118560212,1.0,0.5234375,0.703125,1.0,0.7421875,0.6796875,0.8203125,1.0,0.859375,0.8984375,0.953125,1.0,0.96875,0.9921875,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock4.denselayer4.conv2,95,128,32,9,1152,32,307200,266.6666666666667,0.8488464466427009,3.002910105747271,1.0,0.71875,0.78125,1.0,0.84375,0.84375,0.90625,1.0,0.9375,0.96875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock4.denselayer5.conv1,96,640,128,1,640,128,307200,480.0,0.7731638375512931,5.84655094405619,1.0,0.546875,0.7109375,1.0,0.7578125,0.6953125,0.828125,1.0,0.8671875,0.90625,0.953125,1.0,0.9765625,0.9921875,1.0,1.0,1.0
