model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,out_0.9,kernel_0.9,data_0.9,ortho_0.9,out_0.95,kernel_0.95,data_0.95,ortho_0.95,out_0.99,kernel_0.99,data_0.99,ortho_0.99,out_0.999,kernel_0.999,data_0.999,ortho_0.999
resnet50_random,layer3.2.conv1,31,1024,256,1,1024,256,307200,300.0,0.8812275644186779,3.0726796135421686,0.036430915110215754,0.07421875,0.76171875,0.10546875,0.078125,0.19921875,0.859375,0.3359375,0.21875,0.55078125,0.96484375,1.0,0.60546875,0.89453125,0.99609375,1.0,0.92578125
resnet50_random,layer3.2.conv2,32,256,256,9,2304,256,307200,133.33333333333334,0.9463191449532106,1.9630832919647696,0.03683782666350706,0.05078125,0.82421875,0.06640625,0.05078125,0.19921875,0.90625,0.44140625,0.2109375,0.66015625,0.98046875,1.0,0.69140625,0.9453125,1.0,1.0,0.95703125
resnet50_random,layer3.2.conv3,33,256,1024,1,256,256,307200,1200.0,0.8824209510994506,2.884761305585101,0.03309323826627543,0.06640625,0.76171875,0.06640625,0.06640625,0.18359375,0.86328125,0.19921875,0.19921875,0.4609375,0.96875,0.48828125,0.48828125,0.67578125,1.0,0.69140625,0.69140625
resnet50_random,layer3.3.conv1,34,1024,256,1,1024,256,307200,300.0,0.8834119489821765,2.944988317308042,0.034063903982188774,0.06640625,0.765625,0.08203125,0.07421875,0.1953125,0.86328125,0.3046875,0.21875,0.55859375,0.96875,1.0,0.6171875,0.8984375,0.99609375,1.0,0.9296875
resnet50_random,layer3.3.conv2,35,256,256,9,2304,256,307200,133.33333333333334,0.9461893070364403,1.9820177702711936,0.0353008741326611,0.046875,0.82421875,0.05859375,0.046875,0.1796875,0.90625,0.390625,0.19140625,0.64453125,0.98046875,1.0,0.6796875,0.94140625,1.0,1.0,0.953125
resnet50_random,layer3.3.conv3,36,256,1024,1,256,256,307200,1200.0,0.8827642436771814,2.928582337716428,0.025886534039106054,0.04296875,0.76171875,0.04296875,0.04296875,0.140625,0.86328125,0.15625,0.15625,0.44921875,0.96484375,0.48828125,0.48828125,0.69140625,1.0,0.7109375,0.7109375
resnet50_random,layer3.4.conv1,37,1024,256,1,1024,256,307200,300.0,0.881865443969259,2.9502770534216114,0.026795220796823244,0.046875,0.76171875,0.05078125,0.046875,0.1484375,0.86328125,0.21484375,0.1640625,0.5078125,0.96484375,1.0,0.5625,0.87890625,1.0,1.0,0.9140625
resnet50_random,layer3.4.conv2,38,256,256,9,2304,256,307200,133.33333333333334,0.9453057304282064,1.9481392509694533,0.03474838099506849,0.04296875,0.82421875,0.05078125,0.04296875,0.16015625,0.90625,0.328125,0.171875,0.625,0.98046875,1.0,0.6640625,0.9375,1.0,1.0,0.94921875
resnet50_random,layer3.4.conv3,39,256,1024,1,256,256,307200,1200.0,0.8808397014615158,2.957589342843946,0.029475531624234847,0.046875,0.76171875,0.05078125,0.05078125,0.15234375,0.859375,0.16796875,0.16796875,0.45703125,0.96484375,0.49609375,0.49609375,0.7109375,1.0,0.73046875,0.73046875
resnet50_random,layer3.5.conv1,40,1024,256,1,1024,256,307200,300.0,0.8821331991835242,2.9191315029837495,0.027436670254764844,0.0390625,0.76171875,0.046875,0.0390625,0.1328125,0.86328125,0.2109375,0.14453125,0.48828125,0.96875,1.0,0.54296875,0.87109375,1.0,1.0,0.91015625
resnet50_random,layer3.5.conv2,41,256,256,9,2304,256,307200,133.33333333333334,0.9457273027243658,1.9998005333260642,0.029548106757955505,0.0390625,0.82421875,0.0390625,0.0390625,0.140625,0.90625,0.19921875,0.1484375,0.61328125,0.98046875,1.0,0.6484375,0.9375,1.0,1.0,0.94921875
