model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999
timm:resnet50.a1_in1k,layer3.1.conv1,28,1024,256,1,1024,256,307200,300.0,0.6937341786989059,8.101908091294757,0.9431761012760782,256,0,8.101908091294757,True,0.9765625,True,0.2890625,0.62890625,1.0,0.484375,0.98828125,True,0.4140625,0.7578125,1.0,0.65625,1.0,True,0.703125,0.9296875,1.0,0.89453125,1.0,True,0.9375,0.9921875,1.0,0.984375
timm:resnet50.a1_in1k,layer3.1.conv2,29,256,256,9,2304,256,307200,133.33333333333334,0.750699777829316,5.517739820206835,1.0,256,0,5.517739820206835,True,0.97265625,True,0.37890625,0.6640625,1.0,0.578125,0.984375,True,0.515625,0.79296875,1.0,0.73828125,0.99609375,True,0.79296875,0.9453125,1.0,0.9296875,1.0,True,0.96875,0.99609375,1.0,0.9921875
timm:resnet50.a1_in1k,layer3.1.conv3,30,256,1024,1,256,256,307200,1200.0,0.7107135045616978,9.425505461931882,0.5930527146048583,256,0,9.425505461931882,True,0.94140625,True,0.40625,0.66015625,0.60546875,0.60546875,0.95703125,True,0.546875,0.78125,0.734375,0.734375,0.98046875,True,0.78515625,0.93359375,0.8828125,0.8828125,0.99609375,True,0.921875,0.9921875,0.9453125,0.9453125
timm:resnet50.a1_in1k,layer3.2.conv1,31,1024,256,1,1024,256,307200,300.0,0.6755352490374,9.874572262460825,1.0,256,0,9.874572262460825,True,0.98828125,True,0.2890625,0.6171875,1.0,0.546875,0.99609375,True,0.421875,0.74609375,1.0,0.71484375,1.0,True,0.71484375,0.9140625,1.0,0.921875,1.0,True,0.9375,0.98828125,1.0,0.9921875
timm:resnet50.a1_in1k,layer3.2.conv2,32,256,256,9,2304,256,307200,133.33333333333334,0.7686784960879718,8.661336821327797,1.0,256,0,8.661336821327797,True,0.98828125,True,0.3984375,0.69140625,1.0,0.59765625,0.9921875,True,0.55078125,0.8125,1.0,0.75390625,1.0,True,0.828125,0.94921875,1.0,0.93359375,1.0,True,0.97265625,0.9921875,1.0,0.9921875
timm:resnet50.a1_in1k,layer3.2.conv3,33,256,1024,1,256,256,307200,1200.0,0.698205965300235,12.136560426026263,0.6026382329291244,256,0,12.136560426026263,True,0.94140625,True,0.41796875,0.63671875,0.625,0.625,0.953125,True,0.55078125,0.7578125,0.75390625,0.75390625,0.9765625,True,0.78125,0.91015625,0.890625,0.890625,0.98828125,True,0.9140625,0.984375,0.9375,0.9375
timm:resnet50.a1_in1k,layer3.3.conv1,34,1024,256,1,1024,256,307200,300.0,0.7222594790987283,9.053248584750172,1.0,256,0,9.053248584750172,True,0.98828125,True,0.34765625,0.65625,1.0,0.60546875,0.99609375,True,0.49609375,0.77734375,1.0,0.765625,1.0,True,0.78515625,0.9296875,1.0,0.9375,1.0,True,0.9609375,0.9921875,1.0,0.9921875
timm:resnet50.a1_in1k,layer3.3.conv2,35,256,256,9,2304,256,307200,133.33333333333334,0.779345639579578,4.779201467932536,1.0,256,0,4.779201467932536,True,0.96875,True,0.41796875,0.70703125,1.0,0.62890625,0.984375,True,0.578125,0.828125,1.0,0.78125,0.99609375,True,0.84765625,0.95703125,1.0,0.94140625,1.0,True,0.98046875,0.99609375,1.0,0.9921875
timm:resnet50.a1_in1k,layer3.3.conv3,36,256,1024,1,256,256,307200,1200.0,0.6965181722874911,12.549413412358692,0.6371391209482932,256,0,12.549413412358692,True,0.96875,True,0.4453125,0.64453125,0.65625,0.65625,0.9765625,True,0.58203125,0.765625,0.78515625,0.78515625,0.98828125,True,0.80859375,0.9140625,0.91015625,0.91015625,0.99609375,True,0.94140625,0.98828125,0.96484375,0.96484375
timm:resnet50.a1_in1k,layer3.4.conv1,37,1024,256,1,1024,256,307200,300.0,0.7733425181635845,6.554343371367151,1.0,256,0,6.554343371367151,True,0.98828125,True,0.4296875,0.69921875,1.0,0.671875,0.99609375,True,0.58984375,0.81640625,1.0,0.8125,1.0,True,0.8515625,0.953125,1.0,0.95703125,1.0,True,0.98046875,0.99609375,1.0,0.99609375
timm:resnet50.a1_in1k,layer3.4.conv2,38,256,256,9,2304,256,307200,133.33333333333334,0.8058515297042117,5.049120184160561,1.0,256,0,5.049120184160561,True,0.98046875,True,0.46875,0.71484375,1.0,0.68359375,0.9921875,True,0.625,0.828125,1.0,0.8203125,1.0,True,0.87109375,0.95703125,1.0,0.9609375,1.0,True,0.984375,0.99609375,1.0,0.99609375
timm:resnet50.a1_in1k,layer3.4.conv3,39,256,1024,1,256,256,307200,1200.0,0.7662689437129204,12.021892701225134,0.6752358024356163,256,0,12.021892701225134,True,0.9921875,True,0.484375,0.6953125,0.6796875,0.6796875,0.99609375,True,0.625,0.80859375,0.8125,0.8125,1.0,True,0.85546875,0.9453125,0.9453125,0.9453125,1.0,True,0.96875,0.9921875,0.98828125,0.98828125
timm:resnet50.a1_in1k,layer3.5.conv1,40,1024,256,1,1024,256,307200,300.0,0.7649462307038799,7.730788082084913,1.0,256,0,7.730788082084913,True,0.9921875,True,0.4375,0.69921875,1.0,0.69140625,0.99609375,True,0.59765625,0.81640625,1.0,0.828125,1.0,True,0.859375,0.953125,1.0,0.9609375,1.0,True,0.98046875,0.99609375,1.0,0.99609375
timm:resnet50.a1_in1k,layer3.5.conv2,41,256,256,9,2304,256,307200,133.33333333333334,0.7939090955064084,5.312851888081126,1.0,256,0,5.312851888081126,True,0.984375,True,0.45703125,0.6953125,1.0,0.68359375,0.9921875,True,0.60546875,0.8125,1.0,0.8203125,1.0,True,0.8515625,0.953125,1.0,0.95703125,1.0,True,0.98046875,0.99609375,1.0,0.99609375
timm:resnet50.a1_in1k,layer3.5.conv3,42,256,1024,1,256,256,307200,1200.0,0.7755713830695561,10.476104111466855,0.6578305754548635,256,0,10.476104111466855,True,0.9921875,True,0.4765625,0.703125,0.66796875,0.66796875,0.99609375,True,0.6171875,0.81640625,0.80859375,0.80859375,0.99609375,True,0.85546875,0.94921875,0.953125,0.953125,0.99609375,True,0.9765625,0.9921875,0.9921875,0.9921875
timm:resnet50.a1_in1k,layer4.0.conv1,43,1024,512,1,1024,512,307200,300.0,0.6085581382412291,17.077514677116177,1.0,512,0,17.077514677116177,True,0.998046875,True,0.3203125,0.58203125,1.0,0.69140625,1.0,True,0.46875,0.7109375,1.0,0.828125,1.0,True,0.755859375,0.896484375,1.0,0.9609375,1.0,True,0.94921875,0.984375,1.0,0.99609375
timm:resnet50.a1_in1k,layer4.0.conv2,44,512,512,9,4608,512,307200,66.66666666666667,0.7196496240878616,8.068656150601104,1.0,512,0,8.068656150601104,True,0.990234375,True,0.37109375,0.62890625,1.0,0.673828125,0.99609375,True,0.509765625,0.7578125,1.0,0.814453125,1.0,True,0.779296875,0.93359375,1.0,0.955078125,1.0,True,0.962890625,0.9921875,1.0,0.994140625
timm:resnet50.a1_in1k,layer4.0.conv3,45,512,2048,1,512,512,307200,600.0,0.8135814690864399,9.812678149936092,0.6414640394908734,512,0,9.812678149936092,True,0.994140625,True,0.5390625,0.73828125,0.708984375,0.708984375,0.99609375,True,0.69140625,0.84375,0.837890625,0.837890625,0.998046875,True,0.900390625,0.958984375,0.962890625,0.962890625,0.998046875,True,0.984375,0.99609375,0.994140625,0.994140625
timm:resnet50.a1_in1k,layer4.0.downsample.0,46,1024,2048,1,1024,1024,307200,300.0,0.6433711073770703,22.80335638317106,0.5293140599149755,1024,0,22.80335638317106,True,0.994140625,True,0.341796875,0.587890625,0.65625,0.65625,0.9970703125,True,0.4912109375,0.7119140625,0.798828125,0.798828125,0.9990234375,True,0.763671875,0.892578125,0.94140625,0.94140625,0.9990234375,True,0.9423828125,0.9814453125,0.9853515625,0.9853515625
timm:resnet50.a1_in1k,layer4.1.conv1,47,2048,512,1,2048,512,307200,150.0,0.7967940458507655,11.878356907952039,1.0,512,0,11.878356907952039,True,0.994140625,True,0.505859375,0.716796875,1.0,0.716796875,0.998046875,True,0.6640625,0.826171875,1.0,0.841796875,1.0,True,0.88671875,0.951171875,1.0,0.9609375,1.0,True,0.98046875,0.994140625,1.0,0.994140625
timm:resnet50.a1_in1k,layer4.1.conv2,48,512,512,9,4608,512,307200,66.66666666666667,0.7300273131437816,10.717065794325316,1.0,512,0,10.717065794325316,True,0.994140625,True,0.375,0.669921875,1.0,0.634765625,0.998046875,True,0.525390625,0.794921875,1.0,0.791015625,1.0,True,0.806640625,0.9453125,1.0,0.94921875,1.0,True,0.970703125,0.994140625,1.0,0.994140625
timm:resnet50.a1_in1k,layer4.1.conv3,49,512,2048,1,512,512,307200,600.0,0.6898287772615056,26.986510327333633,0.5790901060008675,512,0,26.986510327333633,True,0.990234375,True,0.521484375,0.6953125,0.693359375,0.693359375,0.9921875,True,0.66796875,0.8046875,0.8203125,0.8203125,0.994140625,True,0.869140625,0.931640625,0.943359375,0.943359375,0.99609375,True,0.9609375,0.986328125,0.984375,0.984375
timm:resnet50.a1_in1k,layer4.2.conv1,50,2048,512,1,2048,512,307200,150.0,0.7116629023151845,21.593149652700976,1.0,512,0,21.593149652700976,True,0.998046875,True,0.482421875,0.70703125,1.0,0.765625,0.998046875,True,0.650390625,0.814453125,1.0,0.869140625,1.0,True,0.873046875,0.9375,1.0,0.962890625,1.0,True,0.97265625,0.98828125,1.0,0.9921875
timm:resnet50.a1_in1k,layer4.2.conv2,51,512,512,9,4608,512,307200,66.66666666666667,0.6557025384945308,14.20476288684844,1.0,512,0,14.20476288684844,True,0.9921875,True,0.37109375,0.63671875,1.0,0.6171875,0.99609375,True,0.498046875,0.765625,1.0,0.755859375,1.0,True,0.7578125,0.931640625,1.0,0.927734375,1.0,True,0.953125,0.9921875,1.0,0.98828125
timm:resnet50.a1_in1k,layer4.2.conv3,52,512,2048,1,512,512,307200,600.0,0.4778139325732117,53.35514753814462,0.5227669012768832,512,0,53.35514753814462,True,0.994140625,True,0.37109375,0.6328125,0.578125,0.578125,0.99609375,True,0.51171875,0.75,0.7265625,0.7265625,0.99609375,True,0.7578125,0.904296875,0.904296875,0.904296875,0.99609375,True,0.919921875,0.982421875,0.970703125,0.970703125
