layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok,ok
blocks.7.attn.qkv,linear,36,2304,1,False,768.0,0,197.0,1.0,204800,1769.1352822897989,38.36003818020479,0.016649322126824996,110.24885744725268,0.047851066600370085,10.657117938799495,0.004625485216492836,11.99460028646519,10,2304,0.7200859542324627,767,169,268,492,683,0.07335069444444445,0.11631944444444445,0.21354166666666666,0.2964409722222222,88.88888888888889,True,0.22005208333333334,0.3489583333333333,0.640625,0.8893229166666666,0.3333333333333333,6400.0,99.29108628689681,25.593647773962307,0.011108354068560028,79.99399931482249,0.03471961775816948,7.690170897430287,0.003337747785343006,12.863701805850125,10.0,2304.0,0.7295360270067413,767.0,132.0,216.0,426.0,649.0,0.057291666666666664,0.09375,0.18489583333333334,0.2816840277777778,2.7777777777777777,False,True
blocks.7.attn.proj,linear,37,768,1,False,768.0,0,197.0,1.0,204800,36.950502935587494,80.20628357410853,0.10443526507045381,179.24934747107002,0.23339758785295575,15.824152326710427,0.020604365008737534,2.539460195010546,10,768,0.6664668809004313,768,214,295,457,611,0.2786458333333333,0.3841145833333333,0.5950520833333334,0.7955729166666666,266.6666666666667,True,0.2786458333333333,0.3841145833333333,0.5950520833333334,0.7955729166666666,1.0,6400.0,10.740331131361854,49.17229855178196,0.06402643040596609,117.2251836828434,0.152636957920369,13.124909957505931,0.01708972650716918,2.7936874744011657,10.0,768.0,0.7053645677930191,768.0,154.0,229.0,394.0,570.0,0.20052083333333334,0.2981770833333333,0.5130208333333334,0.7421875,8.333333333333334,False,True
blocks.7.mlp.fc1,linear,38,3072,1,False,768.0,0,197.0,1.0,204800,3196.943462190235,59.58660521999188,0.019396681386716106,154.17019512584088,0.05018561039252633,16.910666592459506,0.005504774281399579,10.507925806609286,10,3072,0.7317476553805718,767,227,345,573,723,0.07389322916666667,0.1123046875,0.1865234375,0.2353515625,66.66666666666667,True,0.2955729166666667,0.44921875,0.74609375,0.94140625,0.25,6400.0,858.2256666874957,19.363332028942295,0.00630316797817132,47.49775319106631,0.015461508200216897,6.717367231968835,0.002186642979156522,11.438794077430973,10.0,3072.0,0.7635333462458562,767.0,63.0,110.0,277.0,554.0,0.0205078125,0.035807291666666664,0.09016927083333333,0.18033854166666666,2.0833333333333335,False,True
blocks.7.mlp.act,act,39,3072,1,False,,0,197.0,1.0,204800,132.90497244669214,405.90236662910576,0.1321296766370787,1241.4727825695027,0.40412525474267663,45.02755776797291,0.014657408127595348,1.0135836368855198,10,3072,0.875916840342984,3072,1761,2221,2766,2995,0.5732421875,0.7229817708333334,0.900390625,0.9749348958333334,66.66666666666667,True,,,,,,6400.0,20.274120934293173,83.90313128751534,0.027312217215988064,335.1767339238732,0.10910700974084414,18.213975315906687,0.005929028423146708,1.6938423005924639,10.0,3072.0,0.8910882781373095,3072.0,682.0,1120.0,2045.0,2775.0,0.22200520833333334,0.3645833333333333,0.6656901041666666,0.9033203125,2.0833333333333335,False,True
blocks.7.mlp.fc2,linear,40,768,1,False,768.0,0,197.0,1.0,204800,61.31843395040238,81.29069167262095,0.10584725478205853,322.99258200387095,0.4205632578175403,10.880470620759075,0.014167279454113378,1.073445619424197,10,768,0.8698588382191431,768,427,541,696,757,0.5559895833333334,0.7044270833333334,0.90625,0.9856770833333334,266.6666666666667,True,0.5559895833333334,0.7044270833333334,0.90625,0.9856770833333334,1.0,6400.0,9.069118798180702,64.05039593956616,0.0833989530463101,180.77464175872197,0.2353836481233359,17.094224555654854,0.02225810489017559,1.4793853071898155,10.0,768.0,0.9175252427980634,768.0,275.0,398.0,617.0,742.0,0.3580729166666667,0.5182291666666666,0.8033854166666666,0.9661458333333334,8.333333333333334,False,True
blocks.8.attn.qkv,linear,41,2304,1,False,768.0,0,197.0,1.0,204800,1883.8218342527155,51.92659025233698,0.022537582574799035,150.89831530724922,0.0654940604632158,11.478594978118418,0.004982029070363897,12.050468111520477,10,2304,0.708525954752619,767,223,336,560,718,0.09678819444444445,0.14583333333333334,0.24305555555555555,0.3116319444444444,88.88888888888889,True,0.2903645833333333,0.4375,0.7291666666666666,0.9348958333333334,0.3333333333333333,6400.0,181.189298330061,41.5485448997199,0.01803322261272565,115.33929986523731,0.05006046001095369,11.153782451840037,0.004841051411388905,13.12225961600633,10.0,2304.0,0.7202369150803157,767.0,170.0,265.0,481.0,684.0,0.07378472222222222,0.1150173611111111,0.2087673611111111,0.296875,2.7777777777777777,False,True
blocks.8.attn.proj,linear,42,768,1,False,768.0,0,197.0,1.0,204800,51.09191400234822,76.8883303980197,0.10011501353908815,216.55536687104762,0.2819731339466766,11.83440339488694,0.015409379420425702,2.300236641002644,10,768,0.6250464977781482,768,261,344,499,638,0.33984375,0.4479166666666667,0.6497395833333334,0.8307291666666666,266.6666666666667,True,0.33984375,0.4479166666666667,0.6497395833333334,0.8307291666666666,1.0,6400.0,17.381705158809368,94.96207041771221,0.12364852918972945,202.70952223325716,0.26394469040788693,18.077160195061897,0.023537969003986844,2.488286147783435,10.0,768.0,0.6563807645798346,768.0,229.0,310.0,469.0,619.0,0.2981770833333333,0.4036458333333333,0.6106770833333334,0.8059895833333334,8.333333333333334,False,True
blocks.8.mlp.fc1,linear,43,3072,1,False,768.0,0,197.0,1.0,204800,14450.873116806883,64.6159769999201,0.02103384667966149,220.27257602574895,0.07170331250838181,11.272320890817308,0.0036693752899795927,10.715595653673866,10,3072,0.7210315569419119,767,334,455,645,740,0.10872395833333333,0.14811197916666666,0.2099609375,0.24088541666666666,66.66666666666667,True,0.4348958333333333,0.5924479166666666,0.83984375,0.9635416666666666,0.25,6400.0,3953.3079482317503,28.38339915448101,0.009239387745599287,87.17038140497307,0.028375775196931338,8.662919984532538,0.0028199609324650187,11.667316594884163,10.0,3072.0,0.74998679432981,767.0,142.0,230.0,444.0,668.0,0.046223958333333336,0.07486979166666667,0.14453125,0.21744791666666666,2.0833333333333335,False,True
blocks.8.mlp.act,act,44,3072,1,False,,0,197.0,1.0,204800,244.49920470699527,426.00154057748125,0.1386723764900655,1372.279521876966,0.4467055735276582,35.96806341383282,0.011708353975857039,1.0072019333828424,10,3072,0.8002613546779287,3072,1799,2216,2740,2981,0.5856119791666666,0.7213541666666666,0.8919270833333334,0.9703776041666666,66.66666666666667,True,,,,,,6400.0,42.323686323889646,121.73730514043692,0.039628029017069306,514.0836707592151,0.16734494490859866,17.954799789361584,0.0058446613897661405,1.700170118275339,10.0,3072.0,0.8108596265101694,3072.0,906.0,1333.0,2141.0,2759.0,0.294921875,0.4339192708333333,0.6969401041666666,0.8981119791666666,2.0833333333333335,False,True
blocks.8.mlp.fc2,linear,45,768,1,False,768.0,0,197.0,1.0,204800,111.41190191139776,148.5923458942371,0.1934796170497879,387.7835128622272,0.5049264490393583,18.80642176603126,0.024487528341186535,0.9839456175112937,10,768,0.8654702859673126,768,463,571,708,758,0.6028645833333334,0.7434895833333334,0.921875,0.9869791666666666,266.6666666666667,True,0.6028645833333334,0.7434895833333334,0.921875,0.9869791666666666,1.0,6400.0,21.438326794974913,69.770420181547,0.09084690127805599,211.55358549689433,0.2754603977824145,13.984255297170169,0.018208665751523658,1.3553246626110125,10.0,768.0,0.9076511644685543,768.0,320.0,445.0,646.0,747.0,0.4166666666666667,0.5794270833333334,0.8411458333333334,0.97265625,8.333333333333334,False,True
