layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok,ok
blocks.9.mlp.act,act,49,3072,1,False,,0,197.0,1.0,204800,236.36508932857853,6.644400512046358,0.0021628907916817573,34.20333260697527,0.011133897332999763,2.7581001458177385,0.0008978190578833784,1.6012424156389846,10,3072,0.9945257603578783,3072,118,309,1338,2721,0.038411458333333336,0.1005859375,0.435546875,0.8857421875,66.66666666666667,True,,,,,,6400.0,85.31723427368271,2.941473439514861,0.0009575108852587439,6.105861575387167,0.00198758514823801,1.8392474928829126,0.0005987133765894898,2.3497169919642666,10.0,3072.0,0.9763029645734964,3072.0,7.0,14.0,77.0,557.0,0.0022786458333333335,0.004557291666666667,0.025065104166666668,0.18131510416666666,2.0833333333333335,False,True
blocks.9.mlp.fc2,linear,50,768,1,False,768.0,0,197.0,1.0,204800,72.80688715551624,6.436149933327427,0.008380403559020087,29.072405052465864,0.03785469407873159,2.7082013258575044,0.003526303809710292,1.5926627879975026,10,768,0.9740708829247777,768,90,192,479,712,0.1171875,0.25,0.6236979166666666,0.9270833333333334,266.6666666666667,True,0.1171875,0.25,0.6236979166666666,0.9270833333333334,1.0,6400.0,26.07404746772482,2.9509084145021673,0.003842328664716364,6.034748839236588,0.00785774588442264,1.8456779236839655,0.0024032264631301636,2.225526126930925,10.0,768.0,0.9846080137355387,768.0,7.0,14.0,69.0,333.0,0.009114583333333334,0.018229166666666668,0.08984375,0.43359375,8.333333333333334,False,True
blocks.10.attn.qkv,linear,51,2304,1,False,768.0,0,197.0,1.0,204800,578.7000843393564,5.182074606278215,0.0022491643256415863,20.0130082061992,0.008686201478385069,2.4203510155513435,0.0010504995727219372,6.239751724938083,10,2304,0.6993023986511451,1517,56,129,372,654,0.024305555555555556,0.055989583333333336,0.16145833333333334,0.2838541666666667,88.88888888888889,True,0.07291666666666667,0.16796875,0.484375,0.8515625,0.3333333333333333,6400.0,221.79031034174503,2.552441852065923,0.001107830664959168,4.719595412361604,0.002048435508837502,1.7046332346001924,0.0007398581747396669,5.894231090615781,10.0,2304.0,0.7781948609198347,1521.0,5.0,10.0,46.0,240.0,0.002170138888888889,0.004340277777777778,0.019965277777777776,0.10416666666666667,2.7777777777777777,False,True
blocks.10.attn.proj,linear,52,768,1,False,768.0,0,197.0,1.0,204800,23.08495590616084,2.704483121273499,0.0035214623974915353,5.12070649977881,0.006667586588253658,1.773925719667236,0.002309799114150047,3.272071079087516,10,768,0.8268909420704798,766,6,12,56,228,0.0078125,0.015625,0.07291666666666667,0.296875,266.6666666666667,True,0.0078125,0.015625,0.07291666666666667,0.296875,1.0,6400.0,22.89098542884109,2.660121376251907,0.0034636997086613373,4.853260770791277,0.0063193499619678085,1.759294151601646,0.00229074759323131,3.532324711514693,10.0,768.0,0.8241696572491783,767.0,5.0,10.0,44.0,191.0,0.006510416666666667,0.013020833333333334,0.057291666666666664,0.24869791666666666,8.333333333333334,False,True
blocks.10.mlp.fc1,linear,53,3072,1,False,768.0,0,197.0,1.0,204800,762.8853732812067,5.258410073446206,0.0017117220291166036,20.185565929871196,0.006570822242796613,2.4485421698833587,0.0007970514875922392,6.385988464549357,10,3072,0.7613923640767261,1893,56,132,383,666,0.018229166666666668,0.04296875,0.12467447916666667,0.216796875,66.66666666666667,True,0.07291666666666667,0.171875,0.4986979166666667,0.8671875,0.25,6400.0,300.2528352281695,2.5684042176459263,0.00083606908126495,4.748102450913719,0.0015456062665734763,1.7123335913515512,0.0005574002576014164,5.942698683928818,10.0,3072.0,0.8290313902495139,1892.0,5.0,10.0,47.0,242.0,0.0016276041666666667,0.0032552083333333335,0.015299479166666666,0.07877604166666667,2.0833333333333335,False,True
blocks.10.mlp.act,act,54,3072,1,False,,0,197.0,1.0,204800,238.62909247419535,6.745832709561115,0.002195909085143592,34.14822646137648,0.011115959134562656,2.7924384756445586,0.0009089968996238798,1.6103652960338153,10,3072,0.9943307395249218,3072,116,304,1316,2712,0.037760416666666664,0.09895833333333333,0.4283854166666667,0.8828125,66.66666666666667,True,,,,,,6400.0,89.24801152312368,2.966358607386713,0.000965611525842029,6.142646445206831,0.001999559389715765,1.8510430037268517,0.0006025530611090012,2.364275678446068,10.0,3072.0,0.9763380305751655,3072.0,7.0,14.0,78.0,549.0,0.0022786458333333335,0.004557291666666667,0.025390625,0.1787109375,2.0833333333333335,False,True
blocks.10.mlp.fc2,linear,55,768,1,False,768.0,0,197.0,1.0,204800,72.99329260358122,6.822348451390184,0.008883266212747635,29.872591541257563,0.03889660356934579,2.8199952936508352,0.0036718688719411916,1.598563679777245,10,768,0.9727305468083345,768,90,191,477,711,0.1171875,0.24869791666666666,0.62109375,0.92578125,266.6666666666667,True,0.1171875,0.24869791666666666,0.62109375,0.92578125,1.0,6400.0,27.318153883094826,3.009907879942588,0.0039191508853419115,6.083505848231683,0.007921231573218336,1.8820796995902154,0.0024506246088414263,2.23582927119086,10.0,768.0,0.983731896742193,768.0,7.0,14.0,69.0,331.0,0.009114583333333334,0.018229166666666668,0.08984375,0.4309895833333333,8.333333333333334,False,True
blocks.11.attn.qkv,linear,56,2304,1,False,768.0,0,197.0,1.0,204800,573.7562425401809,5.268561740741079,0.0022867021444188712,20.234299942381856,0.008782248238881013,2.4489720143163978,0.0010629218812137143,6.259119455117862,10,2304,0.699389853153348,1516,56,129,370,653,0.024305555555555556,0.055989583333333336,0.1605902777777778,0.2834201388888889,88.88888888888889,True,0.07291666666666667,0.16796875,0.4817708333333333,0.8502604166666666,0.3333333333333333,6400.0,228.19240262397454,2.4861082345526246,0.00107904003235791,4.649581416027392,0.0020180474895952222,1.668594812715209,0.0007242164985743095,5.8927425518419545,10.0,2304.0,0.7796415004414542,1520.0,5.0,10.0,47.0,239.0,0.002170138888888889,0.004340277777777778,0.020399305555555556,0.1037326388888889,2.7777777777777777,False,True
blocks.11.attn.proj,linear,57,768,1,False,768.0,0,197.0,1.0,204800,23.20855334034405,2.5683131859790533,0.003344157794243559,5.084989294241467,0.006621079810210244,1.687122989405479,0.002196774725788384,3.270089470086855,10,768,0.8235659051772655,766,6,12,58,232,0.0078125,0.015625,0.07552083333333333,0.3020833333333333,266.6666666666667,True,0.0078125,0.015625,0.07552083333333333,0.3020833333333333,1.0,6400.0,22.88136630336253,2.4995671864104736,0.003254644773971971,4.717153240340945,0.0061421266150272725,1.6642738229518197,0.0021670232069685154,3.538906701408607,10.0,768.0,0.8222371488998965,767.0,5.0,10.0,45.0,191.0,0.006510416666666667,0.013020833333333334,0.05859375,0.24869791666666666,8.333333333333334,False,True
blocks.11.mlp.fc1,linear,58,3072,1,False,768.0,0,197.0,1.0,204800,761.7179545845934,5.2329094124517095,0.0017034210326991241,20.280860618992055,0.006601842649411476,2.4354352918305877,0.0007927849257261028,6.38374573584509,10,3072,0.7618035536344724,1893,57,132,382,665,0.0185546875,0.04296875,0.12434895833333333,0.21647135416666666,66.66666666666667,True,0.07421875,0.171875,0.4973958333333333,0.8658854166666666,0.25,6400.0,313.16034426447237,2.5313563100396577,0.0008240092155077011,4.738839460283392,0.0015425909701443335,1.6860022172395803,0.0005488288467576759,5.9413824732238005,10.0,3072.0,0.8299113582119391,1894.0,5.0,10.0,46.0,240.0,0.0016276041666666667,0.0032552083333333335,0.014973958333333334,0.078125,2.0833333333333335,False,True
blocks.11.mlp.act,act,59,3072,1,False,,0,197.0,1.0,204800,240.94322081682742,6.626917973527489,0.0021571998611743127,33.86634523781381,0.011024200923767517,2.7527695152735103,0.0008960838265864292,1.6136880623310594,10,3072,0.9944701061665064,3072,115,300,1306,2708,0.037434895833333336,0.09765625,0.4251302083333333,0.8815104166666666,66.66666666666667,True,,,,,,6400.0,93.66261191312564,2.8926617891167847,0.0009416216761447867,6.085698165267954,0.001981021538173162,1.8077077346570691,0.0005884465282086814,2.3715341077423813,10.0,3072.0,0.9765447612688605,3072.0,7.0,14.0,78.0,543.0,0.0022786458333333335,0.004557291666666667,0.025390625,0.1767578125,2.0833333333333335,False,True
blocks.11.mlp.fc2,linear,60,768,1,False,768.0,0,197.0,1.0,204800,70.56364032272201,7.59215952169497,0.009885624377206992,33.15430062628399,0.04316966227380728,2.996333090025644,0.0039014753776375577,1.605414153113143,10,768,0.9738240309191959,768,95,197,483,713,0.12369791666666667,0.2565104166666667,0.62890625,0.9283854166666666,266.6666666666667,True,0.12369791666666667,0.2565104166666667,0.62890625,0.9283854166666666,1.0,6400.0,27.156233317784146,3.111974866886351,0.004052050607924937,6.449868176591222,0.008398265854936486,1.9039469306090446,0.0024790975658971937,2.247725460393649,10.0,768.0,0.984531358697004,768.0,8.0,15.0,73.0,336.0,0.010416666666666666,0.01953125,0.09505208333333333,0.4375,8.333333333333334,False,True
head,linear,61,1000,1,False,768.0,0,,,6400,197.35455487157304,4.382014335842233,0.004382014335842233,9.802974296576792,0.009802974296576792,2.4211614536703556,0.0024211614536703554,4.1554248430477845,10,1000,0.5590390926789033,880,12,27,128,375,0.012,0.027,0.128,0.375,6.4,False,0.015625,0.03515625,0.16666666666666666,0.48828125,0.768,,,,,,,,,,,,,,,,,,,,,,,,False
