model,scheme,site,C,m,subspace_resid,cssp_resid
timm:resnet50.tv2_in1k,tau_0.95,layer1.1.bn2,64,50,0.045479941105855806,0.07206889267737707
timm:resnet50.tv2_in1k,tau_0.95,layer1.2.bn1,64,48,0.047631578642196915,0.08114404043774373
timm:resnet50.tv2_in1k,tau_0.95,layer1.2.bn2,64,51,0.0497086375054102,0.07752401063264314
timm:resnet50.tv2_in1k,tau_0.95,layer2.0.bn1,128,100,0.04936332789846714,0.08235462024033716
timm:resnet50.tv2_in1k,tau_0.95,layer2.0.bn2,128,97,0.04913416300451906,0.08173164186846119
timm:resnet50.tv2_in1k,tau_0.95,layer2.1.bn1,128,77,0.048635107015840506,0.07772492421940487
timm:resnet50.tv2_in1k,tau_0.95,layer2.1.bn2,128,95,0.04803027425584189,0.07500694859515243
timm:resnet50.tv2_in1k,tau_0.95,layer2.2.bn1,128,93,0.0488033510549828,0.07641109011205963
timm:resnet50.tv2_in1k,tau_0.95,layer2.2.bn2,128,96,0.048547160378262524,0.06922844478850548
timm:resnet50.tv2_in1k,tau_0.95,layer2.3.bn1,128,99,0.048428074007926626,0.08116103793954088
timm:resnet50.tv2_in1k,tau_0.95,layer2.3.bn2,128,101,0.04832646432595146,0.06786716091205161
timm:resnet50.tv2_in1k,tau_0.95,layer3.0.bn1,256,198,0.04945674160364357,0.08156103910594602
timm:resnet50.tv2_in1k,tau_0.95,layer3.0.bn2,256,189,0.04899413590763354,0.08750882251162112
timm:resnet50.tv2_in1k,tau_0.95,layer3.1.bn1,256,181,0.049837381288170536,0.08433236349848977
timm:resnet50.tv2_in1k,tau_0.95,layer3.1.bn2,256,198,0.04890013275017429,0.0729257790343539
timm:resnet50.tv2_in1k,tau_0.95,layer3.2.bn1,256,192,0.0489642243355323,0.07496656533218701
timm:resnet50.tv2_in1k,tau_0.95,layer3.2.bn2,256,203,0.049054213847966155,0.06901149929852178
timm:resnet50.tv2_in1k,tau_0.95,layer3.3.bn1,256,207,0.04899428232728469,0.0698854357922055
timm:resnet50.tv2_in1k,tau_0.95,layer3.3.bn2,256,211,0.049108420543911006,0.07107692933986696
timm:resnet50.tv2_in1k,tau_0.95,layer3.4.bn1,256,203,0.04901809813483267,0.06718876540635904
timm:resnet50.tv2_in1k,tau_0.95,layer3.4.bn2,256,206,0.04987735212780834,0.06948233742635758
timm:resnet50.tv2_in1k,tau_0.95,layer3.5.bn1,256,214,0.04871864526884072,0.07098562860174759
timm:resnet50.tv2_in1k,tau_0.95,layer3.5.bn2,256,210,0.04918549078882328,0.07424644378076505
timm:resnet50.tv2_in1k,tau_0.95,layer4.0.bn1,512,432,0.04969721275433934,0.07336138829506356
