model,scheme,site,C,m,subspace_resid,cssp_resid
timm:resnet50.a1_in1k,tau_0.95,layer3.4.bn1,256,207,0.04886924392370403,0.06371791651242344
timm:resnet50.a1_in1k,tau_0.95,layer3.4.bn2,256,208,0.0491689260185732,0.06453983387352952
timm:resnet50.a1_in1k,tau_0.95,layer3.5.bn1,256,213,0.04955544725586897,0.06473585932142215
timm:resnet50.a1_in1k,tau_0.95,layer3.5.bn2,256,207,0.04914096859330206,0.06942870716313092
timm:resnet50.a1_in1k,tau_0.95,layer4.0.bn1,512,428,0.04961534805946479,0.06666195157702835
timm:resnet50.a1_in1k,tau_0.95,layer4.0.bn2,512,429,0.04971110979392506,0.07377899409692165
timm:resnet50.a1_in1k,tau_0.95,layer4.1.bn1,512,415,0.04985667639284106,0.07297585872447204
timm:resnet50.a1_in1k,tau_0.95,layer4.1.bn2,512,419,0.049466111414805905,0.06782901618553722
timm:resnet50.a1_in1k,tau_0.95,layer4.2.bn1,512,406,0.04954478253617541,0.06538880945411715
timm:resnet50.a1_in1k,tau_0.95,layer4.2.bn2,512,370,0.04961275872535857,0.0671108781855361
timm:resnet50.a1_in1k,eps_0.001,layer1.0.bn1,64,42,0.0006338038421304222,0.0008630070939137163
timm:resnet50.a1_in1k,eps_0.001,layer1.0.bn2,64,33,0.0005204263026284759,0.0008408517236503817
timm:resnet50.a1_in1k,eps_0.001,layer1.1.bn1,64,60,0.0005219898207975156,0.0005749044934604782
timm:resnet50.a1_in1k,eps_0.001,layer1.1.bn2,64,60,0.00024703438259076114,0.00024744513974935196
timm:resnet50.a1_in1k,eps_0.001,layer1.2.bn1,64,62,0.00010265940835716508,0.00010267774479099984
timm:resnet50.a1_in1k,eps_0.001,layer1.2.bn2,64,63,0.0004400929707955816,0.0004675656251283738
timm:resnet50.a1_in1k,eps_0.001,layer2.0.bn1,128,123,0.0005842568744207011,0.0005863079376369599
timm:resnet50.a1_in1k,eps_0.001,layer2.0.bn2,128,125,0.000838496135984966,0.0008519191075001433
timm:resnet50.a1_in1k,eps_0.001,layer2.1.bn1,128,114,0.0007853844369847039,0.000799875892399344
timm:resnet50.a1_in1k,eps_0.001,layer2.1.bn2,128,117,0.0007607817155524226,0.0007665378387792309
timm:resnet50.a1_in1k,eps_0.001,layer2.2.bn1,128,124,0.0009173605834376213,0.0009367752554628353
timm:resnet50.a1_in1k,eps_0.001,layer2.2.bn2,128,127,0.00028523992338738474,0.0003064053924342968
timm:resnet50.a1_in1k,eps_0.001,layer2.3.bn1,128,119,0.0007887592332398909,0.0007960151817020765
timm:resnet50.a1_in1k,eps_0.001,layer2.3.bn2,128,120,0.0008725421971087428,0.000875326679558376
timm:resnet50.a1_in1k,eps_0.001,layer3.0.bn1,256,251,0.00041871736730826435,0.0004214595886882841
timm:resnet50.a1_in1k,eps_0.001,layer3.0.bn2,256,254,0.0005530198340037796,0.000579927303151662
timm:resnet50.a1_in1k,eps_0.001,layer3.1.bn1,256,247,0.0008061466317911745,0.0008552798394092101
timm:resnet50.a1_in1k,eps_0.001,layer3.1.bn2,256,242,0.0008867444847674844,0.0009030178002498029
timm:resnet50.a1_in1k,eps_0.001,layer3.2.bn1,256,246,0.0009404326531982813,0.0009797388121187585
timm:resnet50.a1_in1k,eps_0.001,layer3.2.bn2,256,240,0.0008801950625682623,0.0009653257896769945
timm:resnet50.a1_in1k,eps_0.001,layer3.3.bn1,256,248,0.0005578469981568949,0.0007184632733649317
timm:resnet50.a1_in1k,eps_0.001,layer3.3.bn2,256,248,0.0006632510287479168,0.0007466053053960372
timm:resnet50.a1_in1k,eps_0.001,layer3.4.bn1,256,252,0.0006877455348301914,0.0007263238791364665
timm:resnet50.a1_in1k,eps_0.001,layer3.4.bn2,256,253,0.0008233378988975233,0.0009121394184394379
timm:resnet50.a1_in1k,eps_0.001,layer3.5.bn1,256,253,0.0007620580274147798,0.0008748519496150242
timm:resnet50.a1_in1k,eps_0.001,layer3.5.bn2,256,254,0.0007876640466503308,0.000999537031879444
timm:resnet50.a1_in1k,eps_0.001,layer4.0.bn1,512,507,0.0006309441446078268,0.0006745454987899544
timm:resnet50.a1_in1k,eps_0.001,layer4.0.bn2,512,509,0.0006680405740106021,0.0007688146467774282
timm:resnet50.a1_in1k,eps_0.001,layer4.1.bn1,512,504,0.0008929492038052559,0.0009364622104542672
timm:resnet50.a1_in1k,eps_0.001,layer4.1.bn2,512,504,0.0007409184743941232,0.0007747640266518173
timm:resnet50.a1_in1k,eps_0.001,layer4.2.bn1,512,497,0.0007906234820986971,0.0008611398870054187
timm:resnet50.a1_in1k,eps_0.001,layer4.2.bn2,512,497,0.0009358950032294195,0.0009677619136598914
timm:resnet50.a1_in1k,eps_0.01,layer1.0.bn1,64,20,0.007557359935207414,0.009501375111829673
timm:resnet50.a1_in1k,eps_0.01,layer1.0.bn2,64,16,0.007427059602506318,0.009990586569863189
timm:resnet50.a1_in1k,eps_0.01,layer1.1.bn1,64,51,0.008079765397352908,0.009629800918558013
timm:resnet50.a1_in1k,eps_0.01,layer1.1.bn2,64,54,0.0071861103062848585,0.009408923376243746
timm:resnet50.a1_in1k,eps_0.01,layer1.2.bn1,64,58,0.006748765251072875,0.009618124400618586
timm:resnet50.a1_in1k,eps_0.01,layer1.2.bn2,64,58,0.008044484012430835,0.009681529829842179
timm:resnet50.a1_in1k,eps_0.01,layer2.0.bn1,128,116,0.006741037426403896,0.00933330239269027
timm:resnet50.a1_in1k,eps_0.01,layer2.0.bn2,128,120,0.006334330409826829,0.009428797694413309
timm:resnet50.a1_in1k,eps_0.01,layer2.1.bn1,128,99,0.0077778727427741876,0.009441989865716318
timm:resnet50.a1_in1k,eps_0.01,layer2.1.bn2,128,108,0.008157105814168073,0.009446700069610067
timm:resnet50.a1_in1k,eps_0.01,layer2.2.bn1,128,116,0.007895870651334914,0.009656306744322577
timm:resnet50.a1_in1k,eps_0.01,layer2.2.bn2,128,123,0.005774316511163412,0.007762668888873277
timm:resnet50.a1_in1k,eps_0.01,layer2.3.bn1,128,108,0.008957479634380058,0.009566477358189864
timm:resnet50.a1_in1k,eps_0.01,layer2.3.bn2,128,112,0.008915035938933173,0.009942903151587959
timm:resnet50.a1_in1k,eps_0.01,layer3.0.bn1,256,241,0.006911871386362427,0.00914072984080087
timm:resnet50.a1_in1k,eps_0.01,layer3.0.bn2,256,244,0.006572904150095249,0.009096057085065765
timm:resnet50.a1_in1k,eps_0.01,layer3.1.bn1,256,232,0.007444909549151813,0.009236740992932703
timm:resnet50.a1_in1k,eps_0.01,layer3.1.bn2,256,227,0.008428579245891339,0.009884972157298872
timm:resnet50.a1_in1k,eps_0.01,layer3.2.bn1,256,233,0.008305854713905788,0.009743665417268373
timm:resnet50.a1_in1k,eps_0.01,layer3.2.bn2,256,230,0.0075587686618755,0.009319864331348689
timm:resnet50.a1_in1k,eps_0.01,layer3.3.bn1,256,234,0.008541225757940345,0.009806638300129504
timm:resnet50.a1_in1k,eps_0.01,layer3.3.bn2,256,235,0.008222155995815654,0.009073834046319501
timm:resnet50.a1_in1k,eps_0.01,layer3.4.bn1,256,243,0.007671096281075776,0.009049553343177894
timm:resnet50.a1_in1k,eps_0.01,layer3.4.bn2,256,244,0.007791150238105679,0.009545263019066146
timm:resnet50.a1_in1k,eps_0.01,layer3.5.bn1,256,246,0.00755153125810402,0.00902505302975317
timm:resnet50.a1_in1k,eps_0.01,layer3.5.bn2,256,246,0.007688147976155076,0.009892213219359482
timm:resnet50.a1_in1k,eps_0.01,layer4.0.bn1,512,493,0.007836891305190972,0.009451291208303203
timm:resnet50.a1_in1k,eps_0.01,layer4.0.bn2,512,497,0.0071278247940258855,0.009670601331434131
timm:resnet50.a1_in1k,eps_0.01,layer4.1.bn1,512,489,0.007175524033269827,0.009739064951646099
timm:resnet50.a1_in1k,eps_0.01,layer4.1.bn2,512,488,0.007411283037340006,0.009567225789906611
timm:resnet50.a1_in1k,eps_0.01,layer4.2.bn1,512,473,0.008079148723227635,0.009875802201225463
timm:resnet50.a1_in1k,eps_0.01,layer4.2.bn2,512,468,0.007906403302628486,0.009590066287217619
