model,scheme,tau,block,H,m,subspace_resid,cssp_resid
convnext_tiny.fb_in1k,eps_0.001,,stages.3.blocks.1.mlp,3072,3031,0.0009400996970253168,0.0009842963861157591
convnext_tiny.fb_in1k,eps_0.001,,stages.3.blocks.2.mlp,3072,3027,0.000906348628815247,0.0009882917608168827
convnext_tiny.fb_in1k,eps_0.01,,stages.0.blocks.0.mlp,384,306,0.006550226246888387,0.009914638695791391
convnext_tiny.fb_in1k,eps_0.01,,stages.0.blocks.1.mlp,384,356,0.006331113402982017,0.00953158684161284
convnext_tiny.fb_in1k,eps_0.01,,stages.0.blocks.2.mlp,384,367,0.0059772098921484,0.009384678120705035
convnext_tiny.fb_in1k,eps_0.01,,stages.1.blocks.0.mlp,768,606,0.008544015176371893,0.009917459699499904
convnext_tiny.fb_in1k,eps_0.01,,stages.1.blocks.1.mlp,768,624,0.009135804898324166,0.009828603804954063
convnext_tiny.fb_in1k,eps_0.01,,stages.1.blocks.2.mlp,768,674,0.009274874230789315,0.009992073838730572
convnext_tiny.fb_in1k,eps_0.01,,stages.2.blocks.0.mlp,1536,1262,0.009121861768827186,0.009937759344884384
convnext_tiny.fb_in1k,eps_0.01,,stages.2.blocks.1.mlp,1536,1460,0.008243789823550224,0.009900938858903263
convnext_tiny.fb_in1k,eps_0.01,,stages.2.blocks.2.mlp,1536,1470,0.008044755461596765,0.009997399005657699
convnext_tiny.fb_in1k,eps_0.01,,stages.2.blocks.3.mlp,1536,1420,0.009125422742927035,0.009952946863646346
convnext_tiny.fb_in1k,eps_0.01,,stages.2.blocks.4.mlp,1536,1450,0.00889478479873974,0.0099284158968016
convnext_tiny.fb_in1k,eps_0.01,,stages.2.blocks.5.mlp,1536,1432,0.008948044178801967,0.009973503167178273
convnext_tiny.fb_in1k,eps_0.01,,stages.2.blocks.6.mlp,1536,1323,0.009299786614408436,0.009971700060044691
convnext_tiny.fb_in1k,eps_0.01,,stages.2.blocks.7.mlp,1536,1366,0.009345016599313132,0.00991276351789208
convnext_tiny.fb_in1k,eps_0.01,,stages.2.blocks.8.mlp,1536,1453,0.008714767100246676,0.009847510568544146
convnext_tiny.fb_in1k,eps_0.01,,stages.3.blocks.0.mlp,3072,2852,0.009027558331232971,0.00997848976082558
convnext_tiny.fb_in1k,eps_0.01,,stages.3.blocks.1.mlp,3072,2852,0.009121193526793327,0.009960866548389865
convnext_tiny.fb_in1k,eps_0.01,,stages.3.blocks.2.mlp,3072,2850,0.008452857492171704,0.009992441561086515
