arm,seed,corruption,severity,acc
ruler,2,defocus_blur,2,91.71
ruler,2,defocus_blur,3,86.54
ruler,2,defocus_blur,4,76.86
ruler,2,defocus_blur,5,53.21
ruler_act,0,defocus_blur,1,93.55
ruler_act,0,defocus_blur,2,92.35
ruler_act,0,defocus_blur,3,87.82
ruler_act,0,defocus_blur,4,79.47
ruler_act,0,defocus_blur,5,55.12
ruler_act,1,defocus_blur,1,93.75
ruler_act,1,defocus_blur,2,91.98
ruler_act,1,defocus_blur,3,87.06
ruler_act,1,defocus_blur,4,78.87
ruler_act,1,defocus_blur,5,56.34
ruler_act,2,defocus_blur,1,93.61
ruler_act,2,defocus_blur,2,92.29
ruler_act,2,defocus_blur,3,87.84
ruler_act,2,defocus_blur,4,79.77
ruler_act,2,defocus_blur,5,57.65
uniform,0,defocus_blur,1,92.87
uniform,0,defocus_blur,2,91.0
uniform,0,defocus_blur,3,85.68
uniform,0,defocus_blur,4,76.9
uniform,0,defocus_blur,5,53.01
uniform,1,defocus_blur,1,92.75
uniform,1,defocus_blur,2,91.34
uniform,1,defocus_blur,3,86.08
uniform,1,defocus_blur,4,76.97
uniform,1,defocus_blur,5,53.94
uniform,2,defocus_blur,1,93.17
uniform,2,defocus_blur,2,91.52
uniform,2,defocus_blur,3,86.23
uniform,2,defocus_blur,4,77.56
uniform,2,defocus_blur,5,53.54
ruler95,0,defocus_blur,1,91.12
ruler95,0,defocus_blur,2,89.34
ruler95,0,defocus_blur,3,84.21
ruler95,0,defocus_blur,4,75.89
ruler95,0,defocus_blur,5,54.35
ruler95,1,defocus_blur,1,91.68
ruler95,1,defocus_blur,2,89.68
ruler95,1,defocus_blur,3,83.71
ruler95,1,defocus_blur,4,74.09
ruler95,1,defocus_blur,5,53.76
ruler95,2,defocus_blur,1,91.22
ruler95,2,defocus_blur,2,89.49
ruler95,2,defocus_blur,3,83.7
ruler95,2,defocus_blur,4,75.55
ruler95,2,defocus_blur,5,54.69
full,0,glass_blur,1,56.62
full,0,glass_blur,2,58.33
full,0,glass_blur,3,62.96
full,0,glass_blur,4,46.17
full,0,glass_blur,5,50.55
full,1,glass_blur,1,60.83
full,1,glass_blur,2,61.65
full,1,glass_blur,3,64.65
full,1,glass_blur,4,49.97
full,1,glass_blur,5,53.52
full,2,glass_blur,1,55.57
full,2,glass_blur,2,57.4
full,2,glass_blur,3,62.03
full,2,glass_blur,4,45.85
full,2,glass_blur,5,49.34
ruler,0,glass_blur,1,59.0
ruler,0,glass_blur,2,60.07
ruler,0,glass_blur,3,63.51
ruler,0,glass_blur,4,48.73
ruler,0,glass_blur,5,51.75
ruler,1,glass_blur,1,56.33
ruler,1,glass_blur,2,57.73
ruler,1,glass_blur,3,62.15
ruler,1,glass_blur,4,45.38
ruler,1,glass_blur,5,50.2
ruler,2,glass_blur,1,58.9
ruler,2,glass_blur,2,59.71
ruler,2,glass_blur,3,62.25
ruler,2,glass_blur,4,48.33
ruler,2,glass_blur,5,50.67
ruler_act,0,glass_blur,1,61.05
ruler_act,0,glass_blur,2,62.27
ruler_act,0,glass_blur,3,65.39
ruler_act,0,glass_blur,4,50.43
ruler_act,0,glass_blur,5,53.59
ruler_act,1,glass_blur,1,58.22
ruler_act,1,glass_blur,2,59.67
ruler_act,1,glass_blur,3,63.36
ruler_act,1,glass_blur,4,48.23
ruler_act,1,glass_blur,5,52.16
ruler_act,2,glass_blur,1,59.59
ruler_act,2,glass_blur,2,60.83
ruler_act,2,glass_blur,3,64.52
ruler_act,2,glass_blur,4,48.81
ruler_act,2,glass_blur,5,52.16
uniform,0,glass_blur,1,56.26
uniform,0,glass_blur,2,57.58
uniform,0,glass_blur,3,61.19
uniform,0,glass_blur,4,45.69
uniform,0,glass_blur,5,49.61
uniform,1,glass_blur,1,57.38
uniform,1,glass_blur,2,59.42
uniform,1,glass_blur,3,61.48
uniform,1,glass_blur,4,47.65
uniform,1,glass_blur,5,50.39
uniform,2,glass_blur,1,56.12
uniform,2,glass_blur,2,57.4
uniform,2,glass_blur,3,61.6
uniform,2,glass_blur,4,45.53
uniform,2,glass_blur,5,49.28
ruler95,0,glass_blur,1,52.91
ruler95,0,glass_blur,2,54.73
ruler95,0,glass_blur,3,58.25
ruler95,0,glass_blur,4,44.11
ruler95,0,glass_blur,5,46.84
ruler95,1,glass_blur,1,53.86
ruler95,1,glass_blur,2,56.23
ruler95,1,glass_blur,3,59.66
ruler95,1,glass_blur,4,44.66
ruler95,1,glass_blur,5,47.69
ruler95,2,glass_blur,1,53.21
ruler95,2,glass_blur,2,54.42
ruler95,2,glass_blur,3,57.12
ruler95,2,glass_blur,4,45.53
ruler95,2,glass_blur,5,46.33
full,0,motion_blur,1,89.58
full,0,motion_blur,2,82.83
full,0,motion_blur,3,74.61
full,0,motion_blur,4,74.54
full,0,motion_blur,5,65.54
full,1,motion_blur,1,89.72
full,1,motion_blur,2,82.94
full,1,motion_blur,3,73.83
full,1,motion_blur,4,73.94
full,1,motion_blur,5,64.36
full,2,motion_blur,1,90.01
full,2,motion_blur,2,83.3
full,2,motion_blur,3,75.0
full,2,motion_blur,4,74.82
full,2,motion_blur,5,67.45
ruler,0,motion_blur,1,89.17
ruler,0,motion_blur,2,81.7
ruler,0,motion_blur,3,73.46
ruler,0,motion_blur,4,73.14
ruler,0,motion_blur,5,64.7
ruler,1,motion_blur,1,89.61
ruler,1,motion_blur,2,82.36
ruler,1,motion_blur,3,73.81
ruler,1,motion_blur,4,73.26
ruler,1,motion_blur,5,64.7
ruler,2,motion_blur,1,89.09
ruler,2,motion_blur,2,82.32
ruler,2,motion_blur,3,73.62
ruler,2,motion_blur,4,73.65
ruler,2,motion_blur,5,64.76
ruler_act,0,motion_blur,1,89.58
ruler_act,0,motion_blur,2,82.95
ruler_act,0,motion_blur,3,73.84
ruler_act,0,motion_blur,4,73.51
ruler_act,0,motion_blur,5,64.93
ruler_act,1,motion_blur,1,89.77
ruler_act,1,motion_blur,2,82.99
ruler_act,1,motion_blur,3,74.96
ruler_act,1,motion_blur,4,74.78
ruler_act,1,motion_blur,5,66.4
ruler_act,2,motion_blur,1,90.18
ruler_act,2,motion_blur,2,83.42
ruler_act,2,motion_blur,3,75.41
ruler_act,2,motion_blur,4,75.31
ruler_act,2,motion_blur,5,66.5
uniform,0,motion_blur,1,88.42
uniform,0,motion_blur,2,80.33
uniform,0,motion_blur,3,71.17
uniform,0,motion_blur,4,71.27
uniform,0,motion_blur,5,61.88
