layer,kind,depth_index,C,groups,is_depthwise,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
layer1.1.relu,act,7,64,1,False,0,56,56,1024,1.2478735887410006,30.197192631805148,0.47183113487195544,42.27274074803976,0.6605115741881212,11.100343907456383,0.17344287355400598,1.3387755813379767,10,64,0.9437524360810626,64,41,50,60,64,0.640625,0.78125,0.9375,1.0,1,resnet18
layer1.1.relu,act,7,64,1,False,0,56,56,1024,1.2478735887410006,30.197192631805148,0.47183113487195544,42.27274074803976,0.6605115741881212,11.100343907456383,0.17344287355400598,1.3387755813379767,10,64,0.9437524360810626,64,41,50,60,64,0.640625,0.78125,0.9375,1.0,2,resnet18
layer1.1.relu,act,7,64,1,False,0,56,56,1024,1.2478735887410006,30.197192631805148,0.47183113487195544,42.27274074803976,0.6605115741881212,11.100343907456383,0.17344287355400598,1.3387755813379767,10,64,0.9437524360810626,64,41,50,60,64,0.640625,0.78125,0.9375,1.0,5,resnet18
layer1.1.relu,act,7,64,1,False,0,56,56,1024,1.2478735887410006,30.197192631805148,0.47183113487195544,42.27274074803976,0.6605115741881212,11.100343907456383,0.17344287355400598,1.3387755813379767,10,64,0.9437524360810626,64,41,50,60,64,0.640625,0.78125,0.9375,1.0,10,resnet18
layer1.1.relu,act,7,64,1,False,0,56,56,2048,1.2889118351469895,32.245469412026104,0.5038354595629079,43.900431039479926,0.6859442349918738,12.756483714498637,0.1993200580390412,1.2534498613209804,10,64,0.9567551965862153,64,43,51,61,64,0.671875,0.796875,0.953125,1.0,25,resnet18
layer1.1.relu,act,7,64,1,False,0,56,56,4096,1.2921842866519848,32.509368778351366,0.5079588871617401,44.44458329026585,0.6944466139104039,12.655075819015288,0.19773555967211387,1.190350671655396,10,64,0.9560109316982053,64,44,52,61,64,0.6875,0.8125,0.953125,1.0,50,resnet18
layer1.1.relu,act,7,64,1,False,0,56,56,7168,1.308175292722352,32.93622128804982,0.5146284576257785,44.884362214063295,0.701318159594739,12.617504670261113,0.19714851047282989,1.1654722428324986,10,64,0.9507305325343101,64,44,52,61,64,0.6875,0.8125,0.953125,1.0,100,resnet18
layer1.1.relu,act,7,64,1,False,0,56,56,16384,1.332860228646135,33.19817143293402,0.518721428639594,45.01732112680118,0.7033956426062684,13.050171039193946,0.20390892248740541,1.1570782894450458,10,64,0.9531347625315042,64,44,52,61,64,0.6875,0.8125,0.953125,1.0,250,resnet18
layer1.1.conv2,conv,8,64,1,False,0,56,56,1024,3.30925527369405,23.72894984104054,0.3707648412662584,33.138351690864845,0.5177867451697632,10.412895120151306,0.16270148625236416,2.1645231179445332,10,64,0.9365272937499445,64,31,39,54,63,0.484375,0.609375,0.84375,0.984375,1,resnet18
layer1.1.conv2,conv,8,64,1,False,0,56,56,1024,3.30925527369405,23.72894984104054,0.3707648412662584,33.138351690864845,0.5177867451697632,10.412895120151306,0.16270148625236416,2.1645231179445332,10,64,0.9365272937499445,64,31,39,54,63,0.484375,0.609375,0.84375,0.984375,2,resnet18
layer1.1.conv2,conv,8,64,1,False,0,56,56,1024,3.30925527369405,23.72894984104054,0.3707648412662584,33.138351690864845,0.5177867451697632,10.412895120151306,0.16270148625236416,2.1645231179445332,10,64,0.9365272937499445,64,31,39,54,63,0.484375,0.609375,0.84375,0.984375,5,resnet18
layer1.1.conv2,conv,8,64,1,False,0,56,56,1024,3.30925527369405,23.72894984104054,0.3707648412662584,33.138351690864845,0.5177867451697632,10.412895120151306,0.16270148625236416,2.1645231179445332,10,64,0.9365272937499445,64,31,39,54,63,0.484375,0.609375,0.84375,0.984375,10,resnet18
layer1.1.conv2,conv,8,64,1,False,0,56,56,2048,3.533584189837642,23.52437899028852,0.3675684217232581,33.16658038076413,0.5182278184494395,10.074734302204229,0.15741772347194108,2.1295762081277956,10,64,0.9419970840862943,64,31,40,55,63,0.484375,0.625,0.859375,0.984375,25,resnet18
layer1.1.conv2,conv,8,64,1,False,0,56,56,4096,3.542346006534446,23.760771282233733,0.3712620512849021,33.551417717650686,0.524240901838292,9.688299894441796,0.15137968585065306,2.1174213812650593,10,64,0.9426157834547442,64,31,40,55,63,0.484375,0.625,0.859375,0.984375,50,resnet18
layer1.1.conv2,conv,8,64,1,False,0,56,56,7168,3.625072300657864,24.074761138192308,0.3761681427842548,33.7943629197918,0.5280369206217469,9.946930301399432,0.15542078595936612,2.1089607948768005,10,64,0.9438882663893935,64,31,40,55,63,0.484375,0.625,0.859375,0.984375,100,resnet18
layer1.1.conv2,conv,8,64,1,False,0,56,56,16384,3.667445157464219,23.872015206729078,0.37300023760514184,33.72730065368334,0.5269890727138022,9.68311221122968,0.15129862830046376,2.105645909444792,10,64,0.9451904274786537,64,31,40,55,63,0.484375,0.625,0.859375,0.984375,250,resnet18
layer1.1.relu,act,9,64,1,False,1,56,56,1024,11.73875350802991,31.04622796060176,0.4850973118844025,41.06917062855409,0.6417057910711577,15.05340785274457,0.2352094976991339,1.5965392290967109,10,64,0.9431720285376108,64,38,47,59,64,0.59375,0.734375,0.921875,1.0,1,resnet18
layer1.1.relu,act,9,64,1,False,1,56,56,1024,11.73875350802991,31.04622796060176,0.4850973118844025,41.06917062855409,0.6417057910711577,15.05340785274457,0.2352094976991339,1.5965392290967109,10,64,0.9431720285376108,64,38,47,59,64,0.59375,0.734375,0.921875,1.0,2,resnet18
layer1.1.relu,act,9,64,1,False,1,56,56,1024,11.73875350802991,31.04622796060176,0.4850973118844025,41.06917062855409,0.6417057910711577,15.05340785274457,0.2352094976991339,1.5965392290967109,10,64,0.9431720285376108,64,38,47,59,64,0.59375,0.734375,0.921875,1.0,5,resnet18
layer1.1.relu,act,9,64,1,False,1,56,56,1024,11.73875350802991,31.04622796060176,0.4850973118844025,41.06917062855409,0.6417057910711577,15.05340785274457,0.2352094976991339,1.5965392290967109,10,64,0.9431720285376108,64,38,47,59,64,0.59375,0.734375,0.921875,1.0,10,resnet18
layer1.1.relu,act,9,64,1,False,1,56,56,2048,12.208205582808136,31.731581270323264,0.495805957348801,41.825774734216566,0.6535277302221338,15.59327586507429,0.24364493539178578,1.5282986556266436,10,64,0.9476850602509848,64,39,48,60,64,0.609375,0.75,0.9375,1.0,25,resnet18
layer1.1.relu,act,9,64,1,False,1,56,56,4096,12.407370094824492,31.849661036685287,0.4976509536982076,42.05822202868248,0.6571597191981637,15.089264193295692,0.2357697530202452,1.5028472005362252,10,64,0.9463618063092845,64,39,49,60,64,0.609375,0.765625,0.9375,1.0,50,resnet18
layer1.1.relu,act,9,64,1,False,1,56,56,7168,12.617749679163975,31.98036741699461,0.4996932408905408,42.2641622581821,0.6603775352840953,14.987879533675683,0.23418561771368254,1.4810766140672096,10,64,0.9436815719673344,64,40,49,60,64,0.625,0.765625,0.9375,1.0,100,resnet18
layer1.1.relu,act,9,64,1,False,1,56,56,16384,12.814603749084755,32.00834161409262,0.5001303377201972,42.305554711111185,0.6610242923611123,15.394500821791986,0.24053907534049979,1.4759029959685197,10,64,0.9404024458853216,64,40,49,60,64,0.625,0.765625,0.9375,1.0,250,resnet18
layer2.0.conv1,conv,10,128,1,False,0,28,28,1024,80.67991665031906,32.526365466366485,0.25411223020598817,46.636908758941274,0.3643508496792287,14.480186805431556,0.11312645941743403,2.579504463510878,10,128,0.9286221157318311,128,42,56,87,118,0.328125,0.4375,0.6796875,0.921875,1,resnet18
layer2.0.conv1,conv,10,128,1,False,0,28,28,1024,80.67991665031906,32.526365466366485,0.25411223020598817,46.636908758941274,0.3643508496792287,14.480186805431556,0.11312645941743403,2.579504463510878,10,128,0.9286221157318311,128,42,56,87,118,0.328125,0.4375,0.6796875,0.921875,2,resnet18
layer2.0.conv1,conv,10,128,1,False,0,28,28,1024,80.67991665031906,32.526365466366485,0.25411223020598817,46.636908758941274,0.3643508496792287,14.480186805431556,0.11312645941743403,2.579504463510878,10,128,0.9286221157318311,128,42,56,87,118,0.328125,0.4375,0.6796875,0.921875,5,resnet18
layer2.0.conv1,conv,10,128,1,False,0,28,28,2048,84.41111942427392,33.22215464066649,0.25954808313020694,47.41155320802151,0.37040275943766804,15.608701722692276,0.1219429822085334,2.5234290825777723,10,128,0.9318217083810443,128,43,57,89,119,0.3359375,0.4453125,0.6953125,0.9296875,10,resnet18
layer2.0.conv1,conv,10,128,1,False,0,28,28,4096,85.53437424047281,33.10377382028785,0.2586232329709988,47.48530779235272,0.37097896712775563,15.217768122705504,0.11888881345863675,2.491004146425491,10,128,0.9328868672071506,128,43,58,90,119,0.3359375,0.453125,0.703125,0.9296875,25,resnet18
layer2.0.conv1,conv,10,128,1,False,0,28,28,7168,87.559878424131,33.365004782317094,0.2606640998618523,47.76973371400567,0.3732010446406693,15.88816701192724,0.12412630478068157,2.477244791245038,10,128,0.9328946871500627,128,43,58,90,119,0.3359375,0.453125,0.703125,0.9296875,50,resnet18
layer2.0.conv1,conv,10,128,1,False,0,28,28,13312,89.23119403782113,33.351159988474826,0.2605559374099596,47.794426930430184,0.3733939603939858,15.686704149426049,0.12255237616739101,2.4722162245549546,10,128,0.9332397059842017,128,43,58,90,119,0.3359375,0.453125,0.703125,0.9296875,100,resnet18
layer2.0.conv1,conv,10,128,1,False,0,28,28,32768,90.31757091345688,33.36202768763821,0.2606408413096735,47.80983745233051,0.37351435509633213,15.877996447131997,0.12404684724321872,2.4696156641166542,10,128,0.9338283511112655,128,43,58,90,119,0.3359375,0.453125,0.703125,0.9296875,250,resnet18
layer2.0.relu,act,11,128,1,False,0,28,28,1024,3.5018595688969976,53.03687320445105,0.4143505719097738,77.01566363256569,0.6016848721294195,20.63425660705754,0.16120512974263704,1.251634609437068,10,128,0.9676298606269969,128,78,97,120,127,0.609375,0.7578125,0.9375,0.9921875,1,resnet18
layer2.0.relu,act,11,128,1,False,0,28,28,1024,3.5018595688969976,53.03687320445105,0.4143505719097738,77.01566363256569,0.6016848721294195,20.63425660705754,0.16120512974263704,1.251634609437068,10,128,0.9676298606269969,128,78,97,120,127,0.609375,0.7578125,0.9375,0.9921875,2,resnet18
layer2.0.relu,act,11,128,1,False,0,28,28,1024,3.5018595688969976,53.03687320445105,0.4143505719097738,77.01566363256569,0.6016848721294195,20.63425660705754,0.16120512974263704,1.251634609437068,10,128,0.9676298606269969,128,78,97,120,127,0.609375,0.7578125,0.9375,0.9921875,5,resnet18
