layer,kind,depth_index,C,groups,is_depthwise,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok,r_max,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C
layer1.2.relu,act,20,256,1,False,2,56,56,800000,17.005702442722733,2.679555970572089,0.0104670155100472,7.2284698505187315,0.0282362103535887,1.6802016291124569,0.0065632876137205,3.1648001369332794,10,256,0.4082369234519659,255,15,33,103,188,0.05859375,0.12890625,0.40234375,0.734375,resnet50_random,random_init,imagenet_val[50000],3125.0,True,50000,4.460207973902344,1.7834587464922145,0.0069666357284852,2.699111377558169,0.0105434038185865,1.3706992796627002,0.0053542940611824,3.962676136897875,10,256,0.6736100861273155,254,3,4,10,41,0.01171875,0.015625,0.0390625,0.16015625,195.3125,True,,,,,,
layer2.0.conv1,conv,21,128,1,False,0,56,56,800000,31.693439339956694,3.040370259686546,0.0237528926538011,7.538116193089454,0.0588915327585113,1.8161041401184632,0.0141883135946754,2.38399397114667,10,128,0.938807100902872,128,14,26,63,105,0.109375,0.203125,0.4921875,0.8203125,resnet50_random,random_init,imagenet_val[50000],6250.0,True,50000,8.070132553191222,1.9219478689203764,0.0150152177259404,2.8823664810773635,0.0225184881334169,1.4413080231701965,0.0112602189310171,3.300648055243197,10,128,0.9754238755352096,128,3,5,10,35,0.0234375,0.0390625,0.078125,0.2734375,390.625,True,128.0,0.109375,0.203125,0.4921875,0.8203125,1.0
layer2.0.relu,act,22,128,1,False,0,56,56,800000,18.002484893934565,2.5620467180215525,0.0200159899845433,6.294933179920097,0.0491791654681257,1.6373227893789946,0.0127915842920233,4.700623360710888,10,128,0.4017152849057026,125,12,23,57,89,0.09375,0.1796875,0.4453125,0.6953125,resnet50_random,random_init,imagenet_val[50000],6250.0,True,50000,4.676651846811423,1.7244018622104818,0.0134718895485193,2.5898669294536925,0.0202333353863569,1.3427343626711414,0.0104901122083682,6.1415320957822415,10,128,0.5166808680724045,125,3,4,10,34,0.0234375,0.03125,0.078125,0.265625,390.625,True,,,,,,
layer2.0.conv2,conv,23,128,1,False,0,28,28,800000,37.242854648263126,2.821024363796172,0.0220392528421575,8.147933777759432,0.0636557326387455,1.7135205938464737,0.0133868796394255,1.4535734505322178,10,128,0.9781344818778456,128,20,43,94,123,0.15625,0.3359375,0.734375,0.9609375,resnet50_random,random_init,imagenet_val[50000],6250.0,True,50000,8.84614107558612,1.643637333704673,0.0128409166695677,2.487237851291724,0.0194315457132165,1.3032722899809497,0.0101818147654761,3.0015322161446325,10,128,0.9886543610633364,128,2,4,10,36,0.015625,0.03125,0.078125,0.28125,390.625,True,128.0,0.15625,0.3359375,0.734375,0.9609375,1.0
layer2.0.relu,act,24,128,1,False,1,28,28,800000,15.35427378289242,2.648748415090811,0.0206933469928969,7.221144821279442,0.0564151939162456,1.6537072067351717,0.0129195875526185,4.505782733446034,10,128,0.6183905626220736,126,17,32,61,83,0.1328125,0.25,0.4765625,0.6484375,resnet50_random,random_init,imagenet_val[50000],6250.0,True,50000,3.6541780314252255,1.5530991289262823,0.0121335869447365,2.3151193381503905,0.0180868698292999,1.2616723804821102,0.0098568154725164,5.608651536319785,10,128,0.6697842876785429,127,2,4,9,36,0.015625,0.03125,0.0703125,0.28125,390.625,True,,,,,,
layer2.0.conv3,conv,25,512,1,False,0,28,28,800000,28.563930786744315,2.8133197248248174,0.0054947650875484,7.722183598340892,0.0150823898405095,1.7085439786045338,0.0033369999582119,9.229670499405676,10,512,0.8617119227468655,309,17,31,59,82,0.033203125,0.060546875,0.115234375,0.16015625,resnet50_random,random_init,imagenet_val[50000],1562.5,True,50000,6.70610259923803,1.60402914393107,0.0031328694217403,2.422271936588748,0.0047309998761498,1.284192601372507,0.0025081886745556,7.416383490740028,10,512,0.914781861426374,314,2,4,10,36,0.00390625,0.0078125,0.01953125,0.0703125,97.65625,True,128.0,0.1328125,0.2421875,0.4609375,0.640625,0.25
layer2.0.downsample.0,conv,26,512,1,False,0,28,28,800000,35.39016493154514,2.4440692768962986,0.004773572806438,6.369878933762724,0.0124411697925053,1.5938964782971652,0.0031130790591741,7.357713189780112,10,512,0.6663300216542838,378,13,29,87,170,0.025390625,0.056640625,0.169921875,0.33203125,resnet50_random,random_init,imagenet_val[50000],1562.5,True,50000,9.43872270125535,1.7064883149651722,0.0033329849901663,2.5953117920200337,0.0050689683437891,1.3324639423496978,0.0026024686374017,6.276824358519181,10,512,0.7816548404313916,378,3,4,10,42,0.005859375,0.0078125,0.01953125,0.08203125,97.65625,True,256.0,0.05078125,0.11328125,0.33984375,0.6640625,0.5
layer2.0.relu,act,27,512,1,False,2,28,28,800000,29.48994184230088,2.509647180963048,0.0049016546503184,7.76920159443468,0.0151742218641302,1.6062670617088797,0.0031372403549001,3.912593401750208,10,512,0.3248005540739821,494,22,50,164,329,0.04296875,0.09765625,0.3203125,0.642578125,resnet50_random,random_init,imagenet_val[50000],1562.5,True,50000,7.506318319434497,1.5903716269917254,0.0031061945839682,2.429503959075046,0.0047451249200684,1.2781380455814126,0.0024963633702761,4.705983329041708,10,512,0.4262062044547301,490,2,4,11,58,0.00390625,0.0078125,0.021484375,0.11328125,97.65625,True,,,,,,
layer2.1.conv1,conv,28,128,1,False,0,28,28,800000,60.25572326603144,2.5062858774091383,0.0195803584172588,6.835871582468589,0.0534052467380358,1.607734556758913,0.012560426224679,1.9556099206913693,10,128,0.9604330450182288,128,16,32,75,116,0.125,0.25,0.5859375,0.90625,resnet50_random,random_init,imagenet_val[50000],6250.0,True,50000,15.070610443580318,1.6224595104281798,0.0126754649252201,2.4729828669391263,0.0193201786479619,1.2924951251675652,0.0100976181653716,2.738339028901885,10,128,0.9897606804330448,128,3,4,10,42,0.0234375,0.03125,0.078125,0.328125,390.625,True,128.0,0.125,0.25,0.5859375,0.90625,1.0
layer2.1.relu,act,29,128,1,False,0,28,28,800000,27.02215254941494,2.5229858865403108,0.0197108272385961,6.533427475659661,0.0510424021535911,1.6175455628702196,0.0126370747099235,5.585787574681848,10,128,0.5312759112245304,125,14,28,59,82,0.109375,0.21875,0.4609375,0.640625,resnet50_random,random_init,imagenet_val[50000],6250.0,True,50000,6.805548620806717,1.6247372405275888,0.0126932596916217,2.441005710273544,0.019070357111512,1.2953851804926333,0.0101201967225986,6.625073518599725,10,128,0.6057661107637525,125,2,4,10,38,0.015625,0.03125,0.078125,0.296875,390.625,True,,,,,,
