layer,kind,depth_index,C,groups,is_depthwise,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok,r_max,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C
layer3.0.relu,act,20,256,1,False,0,14,14,800000,6.868659580919008,64.5324788993298,0.252079995700507,127.81832035569197,0.4992903138894217,13.841077469440512,0.054066708865002,1.074416178906633,10,256,0.9889366999475436,256,155,197,241,255,0.60546875,0.76953125,0.94140625,0.99609375,resnet18,ResNet18_Weights.IMAGENET1K_V1,imagenet_val[50000],3125.0,True,50000,0.4920060409058286,21.44356328156333,0.0837639190686067,46.12893158809921,0.1801911390160125,8.586148278303492,0.033539641712123,1.76160348695865,10,256,0.9950004941379272,256,57,97,194,247,0.22265625,0.37890625,0.7578125,0.96484375,195.3125,True,,,,,,
layer3.0.conv2,conv,21,256,1,False,0,14,14,800000,28.78462108729272,53.58127512224064,0.2093018559462525,93.53548605000694,0.3653729923828396,15.819467184854943,0.0617947936908396,1.7126631787829545,10,256,0.952846340369374,256,98,137,210,249,0.3828125,0.53515625,0.8203125,0.97265625,resnet18,ResNet18_Weights.IMAGENET1K_V1,imagenet_val[50000],3125.0,True,50000,4.608997614479784,17.326061073578483,0.0676799260686659,32.112711237628545,0.1254402782719865,6.193914797286273,0.0241949796768995,3.0556839324933325,10,256,0.9549428520913747,256,32,48,98,178,0.125,0.1875,0.3828125,0.6953125,195.3125,True,256.0,0.3828125,0.53515625,0.8203125,0.97265625,1.0
layer3.0.downsample.0,conv,22,256,1,False,0,14,14,800000,3.828043121915624,22.75719959088071,0.0888953109018777,45.01586891477067,0.1758432379483229,6.712991323538925,0.0262226223575739,9.481745727085098,10,256,0.5604470505389119,186,50,69,101,123,0.1953125,0.26953125,0.39453125,0.48046875,resnet18,ResNet18_Weights.IMAGENET1K_V1,imagenet_val[50000],3125.0,True,50000,0.3376695082022918,8.450914171935397,0.0330113834841226,16.657027338623653,0.0650665130414986,3.940125275048357,0.0153911143556576,9.453987116528497,10,256,0.6377959829008697,191,20,31,63,105,0.078125,0.12109375,0.24609375,0.41015625,195.3125,True,128.0,0.390625,0.5390625,0.7890625,0.9609375,0.5
layer3.0.relu,act,23,256,1,False,1,14,14,800000,10.812599403592278,84.31359541248521,0.3293499820800203,143.5879191961152,0.560890309359825,22.132107053972017,0.0864535431795782,1.0632473497902415,10,256,0.9701046006152828,256,158,197,241,255,0.6171875,0.76953125,0.94140625,0.99609375,resnet18,ResNet18_Weights.IMAGENET1K_V1,imagenet_val[50000],3125.0,True,50000,1.2514413132297986,22.582720497505957,0.0882137519433826,49.77529547854815,0.1944347479630787,7.264886706007896,0.0283784636953433,1.8229596250969065,10,256,0.9898121260386464,256,61,99,192,246,0.23828125,0.38671875,0.75,0.9609375,195.3125,True,,,,,,
layer3.1.conv1,conv,24,256,1,False,0,14,14,800000,42.22180379506855,30.926540775460666,0.1208067999041432,79.84905879096283,0.3119103859021985,7.128728548637943,0.0278465958931169,1.5967717818598484,10,256,0.9456826953795914,256,101,141,213,250,0.39453125,0.55078125,0.83203125,0.9765625,resnet18,ResNet18_Weights.IMAGENET1K_V1,imagenet_val[50000],3125.0,True,50000,4.724938137477245,9.246648290305856,0.0361197198840072,22.97230143189029,0.0897355524683214,3.847850635692169,0.0150306665456725,2.605399435993692,10,256,0.9225492504139527,256,34,57,118,197,0.1328125,0.22265625,0.4609375,0.76953125,195.3125,True,256.0,0.39453125,0.55078125,0.83203125,0.9765625,1.0
layer3.1.relu,act,25,256,1,False,0,14,14,800000,2.354302635125982,66.9634336315256,0.2615759126231469,154.3086403072289,0.6027681262001129,11.008320697960825,0.0430012527264094,0.7491643955083737,10,256,0.9809061620614136,256,185,217,247,255,0.72265625,0.84765625,0.96484375,0.99609375,resnet18,ResNet18_Weights.IMAGENET1K_V1,imagenet_val[50000],3125.0,True,50000,0.1397550931427326,23.680619958198942,0.0925024217117146,59.903385240832215,0.2339975985970008,8.287100782241717,0.0323714874306317,1.3506055481489758,10,256,0.9892488175217526,256,96,148,223,252,0.375,0.578125,0.87109375,0.984375,195.3125,True,,,,,,
layer3.1.conv2,conv,26,256,1,False,0,14,14,800000,5.7039170499426,27.84999191443617,0.1087890309157663,78.88390526369272,0.3081402549362997,6.851840481737758,0.0267650018817881,1.4567339474828491,10,256,0.9329703761006426,256,110,152,218,250,0.4296875,0.59375,0.8515625,0.9765625,resnet18,ResNet18_Weights.IMAGENET1K_V1,imagenet_val[50000],3125.0,True,50000,0.6894337765112456,8.280938455896967,0.0323474158433475,22.984014436151806,0.089781306391218,3.3269249456321908,0.0129958005688757,2.5350089172896637,10,256,0.8954144667183657,256,38,64,127,200,0.1484375,0.25,0.49609375,0.78125,195.3125,True,256.0,0.4296875,0.59375,0.8515625,0.9765625,1.0
layer3.1.relu,act,27,256,1,False,1,14,14,800000,10.80176522417176,100.53848499328576,0.3927284570050225,168.73939507353586,0.6591382620059995,19.416964772186947,0.0758475186413552,0.8343725930930733,10,256,0.9725267799864472,256,181,213,246,255,0.70703125,0.83203125,0.9609375,0.99609375,resnet18,ResNet18_Weights.IMAGENET1K_V1,imagenet_val[50000],3125.0,True,50000,1.0102521000746718,36.12668952316504,0.1411198809498634,75.75960530288033,0.2959359582143763,10.834604493420148,0.0423226738024224,1.5346134643470806,10,256,0.98562338714066,256,95,141,219,252,0.37109375,0.55078125,0.85546875,0.984375,195.3125,True,,,,,,
layer4.0.conv1,conv,28,512,1,False,0,7,7,800000,71.1883840196318,38.871005408013104,0.0759199324375256,105.1194460448266,0.2053114180563019,8.32997918042614,0.0162694905867698,1.9383162805939336,10,512,0.935251775815664,512,131,195,347,476,0.255859375,0.380859375,0.677734375,0.9296875,resnet18,ResNet18_Weights.IMAGENET1K_V1,imagenet_val[50000],1562.5,True,50000,11.846433539633647,19.55329413114713,0.0381900275998967,45.64233803875527,0.0891451914819438,6.569413353405071,0.0128308854558692,3.0214428971454885,10,512,0.9370693800499124,512,58,88,169,310,0.11328125,0.171875,0.330078125,0.60546875,97.65625,True,512.0,0.255859375,0.380859375,0.677734375,0.9296875,1.0
layer4.0.relu,act,29,512,1,False,0,7,7,800000,4.214818694129341,104.39245070584164,0.2038915052848469,279.6552097362729,0.546201581516158,14.280909574257924,0.0278924015122225,0.7817161982930011,10,512,0.9944912582130592,512,361,429,493,510,0.705078125,0.837890625,0.962890625,0.99609375,resnet18,ResNet18_Weights.IMAGENET1K_V1,imagenet_val[50000],1562.5,True,50000,0.3891540682912341,56.41299147132269,0.1101816239674271,147.7309291509776,0.2885369709980031,14.836867518119451,0.028978256871327,1.20182239875186,10,512,0.994906664967865,512,232,335,465,507,0.453125,0.654296875,0.908203125,0.990234375,97.65625,True,,,,,,
layer4.0.conv2,conv,30,512,1,False,0,7,7,800000,12.42579862915996,46.261317464950544,0.0903541356737315,148.85707552613897,0.2907364756369902,9.55881721061491,0.0186695648644822,1.2833917717076353,10,512,0.9586577846515266,512,227,316,449,504,0.443359375,0.6171875,0.876953125,0.984375,resnet18,ResNet18_Weights.IMAGENET1K_V1,imagenet_val[50000],1562.5,True,50000,2.0927516024811728,25.941983757811617,0.0506679370269758,71.489959782638,0.1396288277004648,7.367166276148991,0.0143889966331034,2.1482394445854256,10,512,0.9143410069198312,512,104,161,298,443,0.203125,0.314453125,0.58203125,0.865234375,97.65625,True,512.0,0.443359375,0.6171875,0.876953125,0.984375,1.0
layer4.0.downsample.0,conv,31,512,1,False,0,7,7,800000,10.568215911862438,20.002271619581325,0.0390669367569947,51.452465494339855,0.1004930966686325,5.727067043973837,0.0111856778202614,7.606391699832941,10,512,0.5422821982028155,371,69,106,183,240,0.134765625,0.20703125,0.357421875,0.46875,resnet18,ResNet18_Weights.IMAGENET1K_V1,imagenet_val[50000],1562.5,True,50000,1.9158376039238905,13.56381214318468,0.0264918205921575,28.204250142267057,0.0550864260591153,4.958836858169234,0.0096852282386117,7.690442495523476,10,512,0.6217519756520642,382,31,50,113,203,0.060546875,0.09765625,0.220703125,0.396484375,97.65625,True,256.0,0.26953125,0.4140625,0.71484375,0.9375,0.5
layer4.0.relu,act,32,512,1,False,1,7,7,800000,20.287328583541456,150.6657503486468,0.2942690436497008,300.7495181831884,0.5874014027015398,24.088956694562228,0.0470487435440668,0.7840811666135502,10,512,0.9924116053930804,512,366,432,494,510,0.71484375,0.84375,0.96484375,0.99609375,resnet18,ResNet18_Weights.IMAGENET1K_V1,imagenet_val[50000],1562.5,True,50000,2.5421172050766403,60.78284025254789,0.1187164848682576,154.89140132591248,0.3025222682146728,13.660893210398402,0.0266814320515593,1.210495165526185,10,512,0.9953433495288038,512,234,337,466,507,0.45703125,0.658203125,0.91015625,0.990234375,97.65625,True,,,,,,
layer4.1.conv1,conv,33,512,1,False,0,7,7,800000,77.99054937031758,21.308740085025587,0.0416186329785656,115.09694213885828,0.2247987151149575,4.97789780921298,0.0097224566586191,1.3182546048535857,10,512,0.9413499353961374,512,216,301,438,502,0.421875,0.587890625,0.85546875,0.98046875,resnet18,ResNet18_Weights.IMAGENET1K_V1,imagenet_val[50000],1562.5,True,50000,17.7619805755957,21.090835591475017,0.0411930382645996,75.77002976759665,0.1479883393898372,5.356759585814696,0.0104624210660443,2.176765773348809,10,512,0.877848271845294,512,120,179,305,437,0.234375,0.349609375,0.595703125,0.853515625,97.65625,True,512.0,0.421875,0.587890625,0.85546875,0.98046875,1.0
layer4.1.relu,act,34,512,1,False,0,7,7,800000,4.020969144704732,135.29525845657568,0.2642485516729994,328.8886485415232,0.6423606416826625,17.034425352705426,0.0332703620170027,0.6320152986422075,10,512,0.9871391291727916,512,388,445,497,511,0.7578125,0.869140625,0.970703125,0.998046875,resnet18,ResNet18_Weights.IMAGENET1K_V1,imagenet_val[50000],1562.5,True,50000,0.5617672033471601,129.58314332835582,0.2530920768131949,251.65379716049637,0.4915113225790944,29.383708887248,0.0573900564204062,1.0259360381489009,10,512,0.988081991474141,512,307,393,484,509,0.599609375,0.767578125,0.9453125,0.994140625,97.65625,True,,,,,,
layer4.1.conv2,conv,35,512,1,False,0,7,7,800000,7.181419438154881,138.22111701326006,0.2699631191665235,220.3221712211435,0.4303167406662959,24.509980080603768,0.0478710548449292,1.9111917627424184,10,512,0.7956477707469838,512,202,251,360,475,0.39453125,0.490234375,0.703125,0.927734375,resnet18,ResNet18_Weights.IMAGENET1K_V1,imagenet_val[50000],1562.5,True,50000,2.9230680464117045,115.8241237471834,0.2262189916937176,182.91361351374152,0.3572531513940264,31.901479336881767,0.0623075768298472,2.545216327571271,10,512,0.7289012690132186,512,174,219,308,409,0.33984375,0.427734375,0.6015625,0.798828125,97.65625,True,512.0,0.39453125,0.490234375,0.703125,0.927734375,1.0
layer4.1.relu,act,36,512,1,False,1,7,7,800000,1161.0664279232838,76.40904429986927,0.1492364146481821,227.2148254786485,0.4437789560129854,10.719987995192444,0.0209374765531102,1.2114845644630126,10,512,0.9169473620893842,512,256,345,472,508,0.5,0.673828125,0.921875,0.9921875,resnet18,ResNet18_Weights.IMAGENET1K_V1,imagenet_val[50000],1562.5,True,50000,436.7689022565836,117.07726617594476,0.2286665354998921,206.06247970361423,0.4024657806711216,29.346922568874373,0.0573182081423327,1.5403097545890945,10,512,0.9126382770653187,512,205,275,435,503,0.400390625,0.537109375,0.849609375,0.982421875,97.65625,True,,,,,,
