layer,kind,depth_index,C,groups,is_depthwise,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
features.2.1,conv,7,192,1,False,0,28,28,19456,30.855145615455474,2.4716467898492684,0.012873160363798273,5.158522249531338,0.02686730338297572,1.6389622740750596,0.008536261844140936,5.180012178033294,10,192,0.8263944234778965,192,8,16,43,77,0.041666666666666664,0.08333333333333333,0.22395833333333334,0.4010416666666667,100,convnext_tiny_random
features.2.1,conv,7,192,1,False,0,28,28,48128,30.854526063602943,2.4523087093004743,0.012772441194273303,5.121485981273677,0.026674406152467068,1.6295169684809634,0.008487067544171684,5.186528620922004,10,192,0.8239357529546577,192,8,16,43,77,0.041666666666666664,0.08333333333333333,0.22395833333333334,0.4010416666666667,250,convnext_tiny_random
features.3.0.block.0,conv,8,192,192,True,0,28,28,1024,0.5354962826416059,6.4068531314580985,0.033369026726344266,21.108667479513812,0.1099409764558011,2.860047893959301,0.014896082781038026,1.4031830564888375,10,192,0.9553951349796391,192,53,90,153,186,0.2760416666666667,0.46875,0.796875,0.96875,1,convnext_tiny_random
features.3.0.block.0,conv,8,192,192,True,0,28,28,1024,0.5354962826416059,6.4068531314580985,0.033369026726344266,21.108667479513812,0.1099409764558011,2.860047893959301,0.014896082781038026,1.4031830564888375,10,192,0.9553951349796391,192,53,90,153,186,0.2760416666666667,0.46875,0.796875,0.96875,2,convnext_tiny_random
features.3.0.block.0,conv,8,192,192,True,0,28,28,1024,0.5354962826416059,6.4068531314580985,0.033369026726344266,21.108667479513812,0.1099409764558011,2.860047893959301,0.014896082781038026,1.4031830564888375,10,192,0.9553951349796391,192,53,90,153,186,0.2760416666666667,0.46875,0.796875,0.96875,5,convnext_tiny_random
features.3.0.block.0,conv,8,192,192,True,0,28,28,2048,0.5358240265045152,6.232667345576383,0.03246180909154366,21.1738825813006,0.11028063844427395,2.787100937724683,0.014516150717316057,1.281952245316549,10,192,0.9719131055063317,192,57,96,159,188,0.296875,0.5,0.828125,0.9791666666666666,10,convnext_tiny_random
features.3.0.block.0,conv,8,192,192,True,0,28,28,5120,0.5392554180914544,6.31960048148142,0.03291458584104907,21.32024486706279,0.11104294201595204,2.8579059518499523,0.014884926832551834,1.2040546729334445,10,192,0.9797352915554176,192,59,100,163,188,0.3072916666666667,0.5208333333333334,0.8489583333333334,0.9791666666666666,25,convnext_tiny_random
features.3.0.block.0,conv,8,192,192,True,0,28,28,10240,0.539101962554836,6.538313068500379,0.034053713898439475,22.581373619001564,0.11761132093229981,2.878508193587464,0.014992230174934708,1.1804078370625712,10,192,0.9832248589196337,192,62,104,165,189,0.3229166666666667,0.5416666666666666,0.859375,0.984375,50,convnext_tiny_random
features.3.0.block.0,conv,8,192,192,True,0,28,28,19456,0.5375407432441615,6.75144450711132,0.035163773474538126,23.510584137686674,0.12245095905045143,2.9221876686450785,0.015219727440859783,1.1688326111631853,10,192,0.98375605018672,192,64,106,166,189,0.3333333333333333,0.5520833333333334,0.8645833333333334,0.984375,100,convnext_tiny_random
features.3.0.block.0,conv,8,192,192,True,0,28,28,48128,0.5376674297083631,6.5637219044654485,0.03418605158575754,23.102503756789552,0.12032554039994559,2.855402351845138,0.014871887249193428,1.1573333063031694,10,192,0.9845986145730842,192,65,106,166,189,0.3385416666666667,0.5520833333333334,0.8645833333333334,0.984375,250,convnext_tiny_random
features.3.0.block.4,act,9,28,1,False,0,28,768,1024,0.5575347389526963,5.9016057239124855,0.2107716329968745,11.53504908544766,0.41196603876598786,2.7537469880287624,0.09834810671531294,0.9560325778418504,10,28,0.9942101139226446,28,17,22,27,28,0.6071428571428571,0.7857142857142857,0.9642857142857143,1.0,1,convnext_tiny_random
features.3.0.block.4,act,9,28,1,False,0,28,768,1024,0.5575347389526963,5.9016057239124855,0.2107716329968745,11.53504908544766,0.41196603876598786,2.7537469880287624,0.09834810671531294,0.9560325778418504,10,28,0.9942101139226446,28,17,22,27,28,0.6071428571428571,0.7857142857142857,0.9642857142857143,1.0,2,convnext_tiny_random
features.3.0.block.4,act,9,28,1,False,0,28,768,1024,0.5575347389526963,5.9016057239124855,0.2107716329968745,11.53504908544766,0.41196603876598786,2.7537469880287624,0.09834810671531294,0.9560325778418504,10,28,0.9942101139226446,28,17,22,27,28,0.6071428571428571,0.7857142857142857,0.9642857142857143,1.0,5,convnext_tiny_random
features.3.0.block.4,act,9,28,1,False,0,28,768,1024,0.5575347389526963,5.9016057239124855,0.2107716329968745,11.53504908544766,0.41196603876598786,2.7537469880287624,0.09834810671531294,0.9560325778418504,10,28,0.9942101139226446,28,17,22,27,28,0.6071428571428571,0.7857142857142857,0.9642857142857143,1.0,10,convnext_tiny_random
features.3.0.block.4,act,9,28,1,False,0,28,768,1024,0.5575347389526963,5.9016057239124855,0.2107716329968745,11.53504908544766,0.41196603876598786,2.7537469880287624,0.09834810671531294,0.9560325778418504,10,28,0.9942101139226446,28,17,22,27,28,0.6071428571428571,0.7857142857142857,0.9642857142857143,1.0,25,convnext_tiny_random
features.3.0.block.4,act,9,28,1,False,0,28,768,2048,0.5695036239348763,5.543246700991724,0.19797309646399014,11.152781415779394,0.3983136219921212,2.6204519914645337,0.09358757112373335,0.8804380417442235,10,28,0.9920010721935638,28,17,22,27,28,0.6071428571428571,0.7857142857142857,0.9642857142857143,1.0,50,convnext_tiny_random
features.3.0.block.4,act,9,28,1,False,0,28,768,3072,0.5731839866856137,5.331832854824456,0.19042260195801627,10.884609259106254,0.3887360449680805,2.54682786528552,0.09095813804591144,0.8429540932841038,10,28,0.9903826784394961,28,16,22,27,28,0.5714285714285714,0.7857142857142857,0.9642857142857143,1.0,100,convnext_tiny_random
features.3.0.block.4,act,9,28,1,False,0,28,768,7168,0.5728674012891464,5.848152809377438,0.2088626003349085,11.659603383876233,0.4164144065670083,2.715924208645482,0.09699729316591008,0.7856029604545662,10,28,0.9930580858380044,28,17,22,27,28,0.6071428571428571,0.7857142857142857,0.9642857142857143,1.0,250,convnext_tiny_random
features.3.1.block.0,conv,10,192,192,True,0,28,28,1024,0.5243615031184106,6.620974203021566,0.034484240640737324,22.37975214718606,0.1165612090999274,2.8359656610740416,0.014770654484760634,1.4035594009503023,10,192,0.9551888466900695,192,55,92,154,186,0.2864583333333333,0.4791666666666667,0.8020833333333334,0.96875,1,convnext_tiny_random
features.3.1.block.0,conv,10,192,192,True,0,28,28,1024,0.5243615031184106,6.620974203021566,0.034484240640737324,22.37975214718606,0.1165612090999274,2.8359656610740416,0.014770654484760634,1.4035594009503023,10,192,0.9551888466900695,192,55,92,154,186,0.2864583333333333,0.4791666666666667,0.8020833333333334,0.96875,2,convnext_tiny_random
features.3.1.block.0,conv,10,192,192,True,0,28,28,1024,0.5243615031184106,6.620974203021566,0.034484240640737324,22.37975214718606,0.1165612090999274,2.8359656610740416,0.014770654484760634,1.4035594009503023,10,192,0.9551888466900695,192,55,92,154,186,0.2864583333333333,0.4791666666666667,0.8020833333333334,0.96875,5,convnext_tiny_random
features.3.1.block.0,conv,10,192,192,True,0,28,28,2048,0.521376981850465,6.731372473591315,0.0350592316332881,23.365124978767,0.12169335926441145,2.8508501812223823,0.014848178027199907,1.2776068687622968,10,192,0.9689015826681815,192,61,99,161,188,0.3177083333333333,0.515625,0.8385416666666666,0.9791666666666666,10,convnext_tiny_random
features.3.1.block.0,conv,10,192,192,True,0,28,28,5120,0.5223005281043495,6.78434708483756,0.035335141066862294,23.335861571248493,0.12154094568358591,2.8953652044845777,0.015080027106690508,1.2021513741353718,10,192,0.9776767575144929,192,63,103,164,189,0.328125,0.5364583333333334,0.8541666666666666,0.984375,25,convnext_tiny_random
features.3.1.block.0,conv,10,192,192,True,0,28,28,10240,0.5223858945441342,7.23575489160426,0.037686223393772186,25.129137919241934,0.13088092666271842,2.997902909473241,0.015614077653506463,1.179731341509692,10,192,0.9810861836250373,192,66,107,166,189,0.34375,0.5572916666666666,0.8645833333333334,0.984375,50,convnext_tiny_random
features.3.1.block.0,conv,10,192,192,True,0,28,28,19456,0.5212976531704249,7.461823966150323,0.038863666490366267,26.07480923942443,0.13580629812200223,3.0472736718231133,0.015871217040745383,1.1676431678268484,10,192,0.9825631377849761,192,68,109,167,189,0.3541666666666667,0.5677083333333334,0.8697916666666666,0.984375,100,convnext_tiny_random
features.3.1.block.0,conv,10,192,192,True,0,28,28,48128,0.5221971187960103,7.229125477564989,0.03765169519565099,25.513858503779254,0.13288467970718362,2.9789287468247476,0.015515253889712227,1.1539132700106858,10,192,0.9831135561018949,192,68,109,167,189,0.3541666666666667,0.5677083333333334,0.8697916666666666,0.984375,250,convnext_tiny_random
features.3.1.block.4,act,11,28,1,False,0,28,768,1024,0.5661557701908833,6.207651733280849,0.22170184761717318,11.860364986834588,0.423584463815521,2.8600597016707656,0.10214498934538449,0.9674965210489359,10,28,0.9822097773826476,28,17,22,27,28,0.6071428571428571,0.7857142857142857,0.9642857142857143,1.0,1,convnext_tiny_random
features.3.1.block.4,act,11,28,1,False,0,28,768,1024,0.5661557701908833,6.207651733280849,0.22170184761717318,11.860364986834588,0.423584463815521,2.8600597016707656,0.10214498934538449,0.9674965210489359,10,28,0.9822097773826476,28,17,22,27,28,0.6071428571428571,0.7857142857142857,0.9642857142857143,1.0,2,convnext_tiny_random
features.3.1.block.4,act,11,28,1,False,0,28,768,1024,0.5661557701908833,6.207651733280849,0.22170184761717318,11.860364986834588,0.423584463815521,2.8600597016707656,0.10214498934538449,0.9674965210489359,10,28,0.9822097773826476,28,17,22,27,28,0.6071428571428571,0.7857142857142857,0.9642857142857143,1.0,5,convnext_tiny_random
features.3.1.block.4,act,11,28,1,False,0,28,768,1024,0.5661557701908833,6.207651733280849,0.22170184761717318,11.860364986834588,0.423584463815521,2.8600597016707656,0.10214498934538449,0.9674965210489359,10,28,0.9822097773826476,28,17,22,27,28,0.6071428571428571,0.7857142857142857,0.9642857142857143,1.0,10,convnext_tiny_random
features.3.1.block.4,act,11,28,1,False,0,28,768,1024,0.5661557701908833,6.207651733280849,0.22170184761717318,11.860364986834588,0.423584463815521,2.8600597016707656,0.10214498934538449,0.9674965210489359,10,28,0.9822097773826476,28,17,22,27,28,0.6071428571428571,0.7857142857142857,0.9642857142857143,1.0,25,convnext_tiny_random
features.3.1.block.4,act,11,28,1,False,0,28,768,2048,0.5619862331319362,6.0437955027805454,0.21584983938501948,11.768695887417373,0.4203105674077633,2.7961954503484416,0.09986412322673006,0.8801277724785982,10,28,0.9879445331667953,28,17,22,27,28,0.6071428571428571,0.7857142857142857,0.9642857142857143,1.0,50,convnext_tiny_random
features.3.1.block.4,act,11,28,1,False,0,28,768,3072,0.5738080991953992,5.608307335502371,0.2002966905536561,11.282749473415276,0.40295533833625985,2.632237847614033,0.09400849455764404,0.8475542406108044,10,28,0.9860200941184025,28,17,22,27,28,0.6071428571428571,0.7857142857142857,0.9642857142857143,1.0,100,convnext_tiny_random
features.3.1.block.4,act,11,28,1,False,0,28,768,7168,0.5759490973224599,5.951233852297804,0.212544066153493,11.819839829581245,0.42213713677075876,2.7447230853642126,0.09802582447729331,0.8055222253239573,10,28,0.9654558338358452,28,17,23,27,28,0.6071428571428571,0.8214285714285714,0.9642857142857143,1.0,250,convnext_tiny_random
features.3.2.block.0,conv,12,192,192,True,0,28,28,1024,0.5095965814351568,7.158376132630692,0.037283209024118184,23.62090967257594,0.12302557121133302,2.978446539267211,0.015512742392016722,1.4156767886511128,10,192,0.9574373914067373,192,55,92,154,186,0.2864583333333333,0.4791666666666667,0.8020833333333334,0.96875,1,convnext_tiny_random
features.3.2.block.0,conv,12,192,192,True,0,28,28,1024,0.5095965814351568,7.158376132630692,0.037283209024118184,23.62090967257594,0.12302557121133302,2.978446539267211,0.015512742392016722,1.4156767886511128,10,192,0.9574373914067373,192,55,92,154,186,0.2864583333333333,0.4791666666666667,0.8020833333333334,0.96875,2,convnext_tiny_random
features.3.2.block.0,conv,12,192,192,True,0,28,28,1024,0.5095965814351568,7.158376132630692,0.037283209024118184,23.62090967257594,0.12302557121133302,2.978446539267211,0.015512742392016722,1.4156767886511128,10,192,0.9574373914067373,192,55,92,154,186,0.2864583333333333,0.4791666666666667,0.8020833333333334,0.96875,5,convnext_tiny_random
features.3.2.block.0,conv,12,192,192,True,0,28,28,2048,0.5119300484137389,6.800919581919669,0.03542145615583161,23.34528516009211,0.12159002687547975,2.8701355829218684,0.014948622827718064,1.2942748972577365,10,192,0.9726648610189117,192,59,98,160,188,0.3072916666666667,0.5104166666666666,0.8333333333333334,0.9791666666666666,10,convnext_tiny_random
features.3.2.block.0,conv,12,192,192,True,0,28,28,5120,0.5129881712260592,6.936733530335053,0.036128820470495066,24.07686072105131,0.12540031625547557,2.9238661255049148,0.015228469403671431,1.210567637413513,10,192,0.9815825420561066,192,63,104,164,189,0.328125,0.5416666666666666,0.8541666666666666,0.984375,25,convnext_tiny_random
features.3.2.block.0,conv,12,192,192,True,0,28,28,10240,0.5115657654096798,7.2652627810828365,0.037839910318139776,25.595212033521705,0.13330839600792554,2.9806865611494726,0.015524409172653504,1.1885766231305315,10,192,0.9843569263593592,192,66,107,166,189,0.34375,0.5572916666666666,0.8645833333333334,0.984375,50,convnext_tiny_random
features.3.2.block.0,conv,12,192,192,True,0,28,28,19456,0.5110970211736738,7.485341745528348,0.038986154924626815,26.647428365766384,0.13878868940503325,3.0210652682508337,0.015734714938806425,1.1758529816386847,10,192,0.9856208363552185,192,68,109,167,189,0.3541666666666667,0.5677083333333334,0.8697916666666666,0.984375,100,convnext_tiny_random
features.3.2.block.0,conv,12,192,192,True,0,28,28,48128,0.5111684753015342,7.335550866031,0.03820599409391146,26.264611370647614,0.13679485088878965,2.98152066368382,0.015528753456686563,1.1639877918470105,10,192,0.9860862238950471,192,68,110,168,189,0.3541666666666667,0.5729166666666666,0.875,0.984375,250,convnext_tiny_random
features.3.2.block.4,act,13,28,1,False,0,28,768,1024,0.615385491827017,5.207570439310527,0.18598465854680454,10.680822114902481,0.3814579326750886,2.507472844811197,0.08955260160039989,0.9818095762199464,10,28,0.9950143994112602,28,16,21,27,28,0.5714285714285714,0.75,0.9642857142857143,1.0,1,convnext_tiny_random
features.3.2.block.4,act,13,28,1,False,0,28,768,1024,0.615385491827017,5.207570439310527,0.18598465854680454,10.680822114902481,0.3814579326750886,2.507472844811197,0.08955260160039989,0.9818095762199464,10,28,0.9950143994112602,28,16,21,27,28,0.5714285714285714,0.75,0.9642857142857143,1.0,2,convnext_tiny_random
features.3.2.block.4,act,13,28,1,False,0,28,768,1024,0.615385491827017,5.207570439310527,0.18598465854680454,10.680822114902481,0.3814579326750886,2.507472844811197,0.08955260160039989,0.9818095762199464,10,28,0.9950143994112602,28,16,21,27,28,0.5714285714285714,0.75,0.9642857142857143,1.0,5,convnext_tiny_random
features.3.2.block.4,act,13,28,1,False,0,28,768,1024,0.615385491827017,5.207570439310527,0.18598465854680454,10.680822114902481,0.3814579326750886,2.507472844811197,0.08955260160039989,0.9818095762199464,10,28,0.9950143994112602,28,16,21,27,28,0.5714285714285714,0.75,0.9642857142857143,1.0,10,convnext_tiny_random
features.3.2.block.4,act,13,28,1,False,0,28,768,1024,0.615385491827017,5.207570439310527,0.18598465854680454,10.680822114902481,0.3814579326750886,2.507472844811197,0.08955260160039989,0.9818095762199464,10,28,0.9950143994112602,28,16,21,27,28,0.5714285714285714,0.75,0.9642857142857143,1.0,25,convnext_tiny_random
features.3.2.block.4,act,13,28,1,False,0,28,768,2048,0.6078295054548704,5.187526677536514,0.18526880991201836,10.729467960962156,0.383195284320077,2.499621463994003,0.08927219514264297,0.9134986581097297,10,28,0.987241809742426,28,16,22,27,28,0.5714285714285714,0.7857142857142857,0.9642857142857143,1.0,50,convnext_tiny_random
