layer,kind,depth_index,C,groups,is_depthwise,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
features.3.1.block.0,conv,10,192,192,True,0,28,28,800000,0.12022499502899746,88.2294410229217,0.45952833866105053,126.33663405272321,0.6580033023579334,26.4159470844269,0.1375830577313901,1.102305926771564,10,192,0.815473246050501,192,123,148,179,190,0.640625,0.7708333333333334,0.9322916666666666,0.9895833333333334,convnext_tiny,ConvNeXt_Tiny_Weights.IMAGENET1K_V1,imagenet_val[50000],4166.666666666667,True,50000,0.00540769182493655,8.376556855683681,0.04362790029001917,14.413044987177885,0.07506794264155149,3.833988418425813,0.01996868967930111,2.9170897851021937,10,192,0.9924022286916121,192,14,21,47,122,0.07291666666666667,0.109375,0.24479166666666666,0.6354166666666666,260.4166666666667,True
features.3.1.block.4,act,11,28,1,False,0,28,768,800000,2.372239151124033,21.498374992443786,0.7677991068729924,25.449738874590395,0.9089192455210855,7.44293079190594,0.2658189568537836,0.308718682347734,10,28,0.885609451629662,28,25,26,28,28,0.8928571428571429,0.9285714285714286,1.0,1.0,convnext_tiny,ConvNeXt_Tiny_Weights.IMAGENET1K_V1,imagenet_val[50000],28571.428571428572,True,50000,0.0066117137100801335,7.351222875088476,0.2625436741103027,11.706811446846933,0.4181004088159619,3.3733141232207853,0.12047550440074233,2.341321689763679,10,28,0.9887766438958725,28,11,16,25,28,0.39285714285714285,0.5714285714285714,0.8928571428571429,1.0,1785.7142857142858,True
features.3.2.block.0,conv,12,192,192,True,0,28,28,800000,0.4390749622733031,73.08007161544772,0.38062537299712357,114.37434234964621,0.5956996997377407,18.799556773130835,0.09791435819338977,1.1843901995582742,10,192,0.8996084538850283,192,116,143,176,190,0.6041666666666666,0.7447916666666666,0.9166666666666666,0.9895833333333334,convnext_tiny,ConvNeXt_Tiny_Weights.IMAGENET1K_V1,imagenet_val[50000],4166.666666666667,True,50000,0.06869734438371435,21.007441506885442,0.10941375784836167,33.02961597576553,0.1720292498737788,8.3267645249695,0.043368565234216144,4.486734927145282,10,192,0.9386304462969544,192,31,41,61,91,0.16145833333333334,0.21354166666666666,0.3177083333333333,0.4739583333333333,260.4166666666667,True
features.3.2.block.4,act,13,28,1,False,0,28,768,800000,1.5139449826538705,21.774178544223336,0.777649233722262,25.136731622550297,0.897740415091082,8.548802431543038,0.3053143725551085,0.5166901439028049,10,28,0.9973589679496493,28,24,26,28,28,0.8571428571428571,0.9285714285714286,1.0,1.0,convnext_tiny,ConvNeXt_Tiny_Weights.IMAGENET1K_V1,imagenet_val[50000],28571.428571428572,True,50000,0.002299480846877813,4.502856542973618,0.16081630510620062,8.698305050369953,0.3106537517989269,2.328152427966265,0.08314830099879518,1.5774653855554932,10,28,0.9953868328253075,28,11,17,25,28,0.39285714285714285,0.6071428571428571,0.8928571428571429,1.0,1785.7142857142858,True
features.4.1,conv,14,384,1,False,0,14,14,800000,1.490745554243876,42.92925163736193,0.11179492613896336,76.97050642888334,0.20044402715855036,14.935985848028164,0.03889579647924001,3.0235779329831334,10,384,0.8639169007007353,384,81,115,181,271,0.2109375,0.2994791666666667,0.4713541666666667,0.7057291666666666,convnext_tiny,ConvNeXt_Tiny_Weights.IMAGENET1K_V1,imagenet_val[50000],2083.3333333333335,True,50000,0.23233775327117023,16.030214472656972,0.04174535018921086,27.632521896011937,0.07195969243753109,6.721080379847754,0.01750281348918686,4.167338562369998,10,384,0.931936085442609,384,28,42,80,155,0.07291666666666667,0.109375,0.20833333333333334,0.4036458333333333,130.20833333333334,True
features.5.0.block.0,conv,15,384,384,True,0,14,14,800000,0.18739402230621427,127.93594777995422,0.3331665306769641,207.5547027589357,0.5405070384347284,30.621038777194794,0.07974228848227811,1.279493011968651,10,384,0.7829713592517518,384,210,263,340,376,0.546875,0.6848958333333334,0.8854166666666666,0.9791666666666666,convnext_tiny,ConvNeXt_Tiny_Weights.IMAGENET1K_V1,imagenet_val[50000],2083.3333333333335,True,50000,0.014030971128366194,14.871540765719137,0.03872797074406025,31.337429572332475,0.08160788951128249,5.903622816243404,0.015374017750633864,2.8226142910461274,10,384,0.9495442234188838,384,34,53,126,262,0.08854166666666667,0.13802083333333334,0.328125,0.6822916666666666,130.20833333333334,True
features.5.0.block.4,act,16,14,1,False,0,14,1536,800000,0.8715637955399077,12.310391699942251,0.879313692853018,13.173142029103369,0.9409387163645263,6.830643397519178,0.4879030998227984,,10,14,,14,12,13,14,14,0.8571428571428571,0.9285714285714286,1.0,1.0,convnext_tiny,ConvNeXt_Tiny_Weights.IMAGENET1K_V1,imagenet_val[50000],57142.857142857145,True,50000,0.00118962920231874,5.51149526891041,0.39367823349360076,8.090960908319884,0.577925779165706,2.82501458241118,0.20178675588651288,,10,14,,14,8,11,14,14,0.5714285714285714,0.7857142857142857,1.0,1.0,3571.4285714285716,True
features.5.1.block.0,conv,17,384,384,True,0,14,14,800000,0.4139979303410817,102.92178179659234,0.26802547342862587,178.41328884933444,0.4646179397118084,24.876106282016035,0.06478152677608343,1.4039297621282778,10,384,0.8801094687448355,384,187,246,334,375,0.4869791666666667,0.640625,0.8697916666666666,0.9765625,convnext_tiny,ConvNeXt_Tiny_Weights.IMAGENET1K_V1,imagenet_val[50000],2083.3333333333335,True,50000,0.11028508046017348,32.93405557373756,0.08576576972327489,57.61399484794703,0.15003644491652873,9.594745676672506,0.02498631686633465,3.6521503288412225,10,384,0.9290496201049508,384,58,76,115,203,0.15104166666666666,0.19791666666666666,0.2994791666666667,0.5286458333333334,130.20833333333334,True
features.5.1.block.4,act,18,14,1,False,0,14,1536,800000,0.6324550696921716,10.110343135902774,0.7221673668501981,11.931182826538278,0.8522273447527341,4.975001166594386,0.3553572261853133,,10,14,,14,12,13,14,14,0.8571428571428571,0.9285714285714286,1.0,1.0,convnext_tiny,ConvNeXt_Tiny_Weights.IMAGENET1K_V1,imagenet_val[50000],57142.857142857145,True,50000,0.0005916626147629582,4.310394675130496,0.3078853339378926,6.806492231217654,0.48617801651554676,2.3480189584703792,0.16771563989074137,,10,14,,14,8,10,14,14,0.5714285714285714,0.7142857142857143,1.0,1.0,3571.4285714285716,True
features.5.2.block.0,conv,19,384,384,True,0,14,14,800000,0.6523621619624941,109.36454558886889,0.2848035041376794,188.02346149299635,0.48964443097134464,27.98652861856954,0.07288158494419152,1.3032610928114277,10,384,0.9076004993053126,384,198,256,341,377,0.515625,0.6666666666666666,0.8880208333333334,0.9817708333333334,convnext_tiny,ConvNeXt_Tiny_Weights.IMAGENET1K_V1,imagenet_val[50000],2083.3333333333335,True,50000,0.18279557708985048,37.0249968118273,0.09641926253080026,68.54505398160624,0.17850274474376626,11.216046299709904,0.02920845390549454,3.296494771866706,10,384,0.8807728867397093,384,72,98,156,250,0.1875,0.2552083333333333,0.40625,0.6510416666666666,130.20833333333334,True
features.5.2.block.4,act,20,14,1,False,0,14,1536,800000,0.5771631362266691,9.020606478802138,0.6443290342001528,11.222400557040624,0.8016000397886159,4.361495697891529,0.3115354069922521,,10,14,,14,11,13,14,14,0.7857142857142857,0.9285714285714286,1.0,1.0,convnext_tiny,ConvNeXt_Tiny_Weights.IMAGENET1K_V1,imagenet_val[50000],57142.857142857145,True,50000,0.0003263973444324918,4.430234574764402,0.31644532676888587,6.9942433752921565,0.49958881252086834,2.3754482338873455,0.1696748738490961,,10,14,,14,8,10,13,14,0.5714285714285714,0.7142857142857143,0.9285714285714286,1.0,3571.4285714285716,True
features.5.3.block.0,conv,21,384,384,True,0,14,14,800000,0.416055150780984,124.34949781098862,0.3238268172161162,223.5276597543159,0.5821032806101977,25.34822921521268,0.06601101358128302,1.0071175490545559,10,384,0.8478572803160498,384,240,293,357,379,0.625,0.7630208333333334,0.9296875,0.9869791666666666,convnext_tiny,ConvNeXt_Tiny_Weights.IMAGENET1K_V1,imagenet_val[50000],2083.3333333333335,True,50000,0.03496854204574673,25.085624866970285,0.06532714809106845,50.987610357917006,0.13278023530707553,8.522690461532646,0.022194506410241264,2.4713274389859565,10,384,0.9347486040097973,384,56,87,190,314,0.14583333333333334,0.2265625,0.4947916666666667,0.8177083333333334,130.20833333333334,True
features.5.3.block.4,act,22,14,1,False,0,14,1536,800000,0.7812081016121553,12.771397159642213,0.912242654260158,13.410813536258265,0.9579152525898761,7.434132717501117,0.5310094798215084,,10,14,,14,13,13,14,14,0.9285714285714286,0.9285714285714286,1.0,1.0,convnext_tiny,ConvNeXt_Tiny_Weights.IMAGENET1K_V1,imagenet_val[50000],57142.857142857145,True,50000,0.001076377866700046,5.615802232431942,0.40112873088799583,7.805935866949823,0.5575668476392731,3.0717039705495837,0.2194074264678274,,10,14,,14,8,10,13,14,0.5714285714285714,0.7142857142857143,0.9285714285714286,1.0,3571.4285714285716,True
features.5.4.block.0,conv,23,384,384,True,0,14,14,800000,0.8852311702093671,123.77441790796999,0.3223292133020052,220.02561499552593,0.5729833723841821,26.329294539351583,0.06856587119622808,1.0234198218669759,10,384,0.8982494642008436,384,237,290,355,380,0.6171875,0.7552083333333334,0.9244791666666666,0.9895833333333334,convnext_tiny,ConvNeXt_Tiny_Weights.IMAGENET1K_V1,imagenet_val[50000],2083.3333333333335,True,50000,0.16845536127753785,36.57451869014448,0.09524614242225125,73.66671965599235,0.19184041577081343,11.097357986593451,0.02889936975675378,2.746520129278498,10,384,0.8722577398691799,384,83,117,193,296,0.21614583333333334,0.3046875,0.5026041666666666,0.7708333333333334,130.20833333333334,True
features.5.4.block.4,act,24,14,1,False,0,14,1536,800000,0.6584600413983664,10.97327934149317,0.7838056672495121,12.40028110338862,0.8857343645277586,5.7560440390626475,0.4111460027901891,,10,14,,14,12,13,14,14,0.8571428571428571,0.9285714285714286,1.0,1.0,convnext_tiny,ConvNeXt_Tiny_Weights.IMAGENET1K_V1,imagenet_val[50000],57142.857142857145,True,50000,0.0005567150094048727,5.04482294543269,0.36034449610233504,7.8963496392423504,0.5640249742315965,2.584087353271894,0.18457766809084958,,10,14,,14,9,12,14,14,0.6428571428571429,0.8571428571428571,1.0,1.0,3571.4285714285716,True
features.5.5.block.0,conv,25,384,384,True,0,14,14,800000,1.1525754897554725,67.88808931254299,0.17679189925141403,187.07112156849536,0.48716437908462334,13.941193610870961,0.03630519169497646,0.9186431533501996,10,384,0.8725819391163323,384,243,294,355,379,0.6328125,0.765625,0.9244791666666666,0.9869791666666666,convnext_tiny,ConvNeXt_Tiny_Weights.IMAGENET1K_V1,imagenet_val[50000],2083.3333333333335,True,50000,0.07704077044915746,25.035821487263835,0.06519745178974957,48.24930013615898,0.12564921910458068,9.049884602527692,0.023567407819082533,2.3895973765087297,10,384,0.969400610549891,384,50,73,185,321,0.13020833333333334,0.19010416666666666,0.4817708333333333,0.8359375,130.20833333333334,True
features.5.5.block.4,act,26,14,1,False,0,14,1536,800000,0.789743621900403,9.028779189562716,0.6449127992544798,11.02290418850981,0.7873502991792721,4.629391533699655,0.33067082383568963,,10,14,,14,11,12,14,14,0.7857142857142857,0.8571428571428571,1.0,1.0,convnext_tiny,ConvNeXt_Tiny_Weights.IMAGENET1K_V1,imagenet_val[50000],57142.857142857145,True,50000,0.002029554209413897,6.045078060399487,0.43179129002853484,8.476107506645366,0.605436250474669,3.112228348688408,0.22230202490631484,,10,14,,14,8,11,14,14,0.5714285714285714,0.7857142857142857,1.0,1.0,3571.4285714285716,True
features.5.6.block.0,conv,27,384,384,True,0,14,14,800000,2.341401474206644,149.757366772354,0.38999314263633855,243.97016274810892,0.635338965489867,26.233034198273096,0.06831519322466952,0.9676740929632615,10,384,0.8742140763532529,384,248,297,357,379,0.6458333333333334,0.7734375,0.9296875,0.9869791666666666,convnext_tiny,ConvNeXt_Tiny_Weights.IMAGENET1K_V1,imagenet_val[50000],2083.3333333333335,True,50000,0.6020970627344073,54.4177323317516,0.14171284461393646,109.82155113743988,0.2859936227537497,14.918953306267007,0.038851440901737,2.510384731855491,10,384,0.7605173886629413,384,126,165,233,311,0.328125,0.4296875,0.6067708333333334,0.8098958333333334,130.20833333333334,True
